location_id,cuisine,restaurant_type,pos_type,batch
LFZFT3VASXPED,American Lunch & Dinner,Fast food,Square,1.0
CB2KHY1C2G9PT,American Breakfast & Brunch,Mid-scale,Square,1.0
WJA3YCD4QBWRX,American Lunch & Dinner,Food truck,Square,1.0
1SQPTEGYPH0GA,Italian,Mid-scale,Square,1.0
N0PC58FB2XAZ3,BBQ,Fast casual,Square,1.0
L69HYJ4Y3TR91,American Breakfast & Brunch,Cafe,Square,1.0
V3Q26BHF3SE2H,American Breakfast & Brunch,Cafe,Square,1.0
0RJH3FFPYBPEY,American Lunch & Dinner,Food truck,Square,1.0
MS8R16DY0JQAM,American Lunch & Dinner,Fast casual,Square,1.0
78AY09MVJVTYE,American Lunch & Dinner,Fast casual,Square,1.0
S8MT0YGD2KTN9,American Lunch & Dinner,Fast casual,Square,1.0
AQD04SM0J92WA,American Breakfast & Brunch,Cafe,Square,1.0
SAFK7ND1HR6XS,Mexican,Fast food,Square,1.0
3AXDVZJYN9DRS,American Lunch & Dinner,"Bar, Pub, or Brewery",Square,1.0
75WYSXR9QBK5M,American Lunch & Dinner,Fast casual,Square,1.0
EMBVNVD207CC6,Italian,"Bar, Pub, or Brewery",Square,1.0
L3XS7WSJ4AJA3,American Lunch & Dinner,Mid-scale,Square,1.0
W8T41JZK0ZMEP,American Breakfast & Brunch,Cafe,Square,1.0
LBMCPAYT7W36V,American Breakfast & Brunch,Cafe,Square,1.0
2HRX9P6HKXA8V,German,"Bar, Pub, or Brewery",Square,1.0
9XKJD8DQTH559,Multi-ethnic,Mid-scale,Square,1.0
LQ5EH4BKGV61T,American Lunch & Dinner,Food truck,Square,1.0
SRQS8F7JWA9MZ,American Lunch & Dinner,Fast casual,Square,1.0
LBZEEFSBJNB3Z,American Breakfast & Brunch,Fast casual,Square,1.0
LZ5MR1TS37E7W,BBQ,Food truck,Square,1.0
JHDN7CF1C03X5,American Breakfast & Brunch,Cafe,Square,1.0
C0BE4NDSW26QN,American Lunch & Dinner,"Bar, Pub, or Brewery",Square,1.0
ADPFRN3QZRCXK,Hawaiian,Mid-scale,Square,2.0
ED5J990H5VAZT,American Breakfast & Brunch,Cafe,Square,2.0
1G5AJ17XCH2A8,American Lunch & Dinner,Food truck,Square,2.0
VLZX7K2M9QD4T,Greek,Fast causal,Square,
