idx,restaurant,intros,products_intros_n,products_general_n,mpbamod_dishes_n,total_items_sold,n_menu_items,intro_dates,products_intros_list,products_general_list,mpbamod_dish_list,top_dish,top_dish_qty,top_mpba_dish,top_mpba_dish_qty,top_intro_product,top_intro_product_qty
1,VLZX7K2M9QD4T,1,1,1,3,1357537,31,['2021-10-18'],['Black Sheep'],['Black Sheep'],"['Black Sheep Meatballs With Spanakorizo', 'Black Sheep Salad', 'Black Sheep Sandwich']",Chicken Salad,261352,Black Sheep Salad,8130,Black Sheep,15115
2,SRQS8F7JWA9MZ,2,3,3,3,222644,16,"['2020-06-25', '2020-09-09']","['Impossible Burger', 'Impossible Sausage Patty', 'Beyond Burger']","['Impossible Burger', 'Impossible Sausage Patty', 'Beyond Burger']","['Gold Standard - Impossible', 'Impossible Patty Melt', 'Beyond Burger']",Gold Standard - Bacon,93668,Gold Standard - Impossible,11281,Impossible Sausage Patty,11281
3,2HRX9P6HKXA8V,1,2,2,2,572339,27,['2019-06-05'],"['Beyond Sausage', 'Field Roast Veggie Sausage']","['Beyond Sausage', 'Field Roast Veggie Sausage']","['Veggie Wurst', 'Beyond Sausage']",Big Bob Bratwurst,167315,Veggie Wurst,14274,Field Roast Veggie Sausage,14274
4,JHDN7CF1C03X5,1,2,3,34,85040,72,['2019-09-06'],"['Beyond Burger', 'Beyond Sausage']","['Beyond Burger', 'Beyond Sausage', 'Unchicken']","['Spicy Chicken Panini', 'Fresh Beyond Burger', 'Beach Salad', 'Turkey Pesto Panini', 'Veggie Portobello', 'Asian Chicken Wrap', 'Bbq Chicken Panini', 'Fiesta Wrap', 'Meat Salad Bowl ChickenTurkey', 'Mediterranean Wrap', 'Chicken Caesar Wrap', 'Mission Burrito Wrap', 'Fiesta Bowl', 'Teriyaki Bowl', 'Mediterranean Salad', 'Asian Sesame Salad', 'Chicken Fiesta Quesadilla', 'Kids Grilled Cheese', 'Vegetarian Combo Meal', 'Santa Fe Quesadilla', 'Tex Bowl', 'Kale Caesar Salad', 'Kids Grilled Cheese Quesadilla', 'Cali Bowl', 'Cranberry Turkey Panini', 'Vegan Combo Meal', 'Caesar Salad', 'Chicken 2 Combo', 'Mediterranean Bowl', 'Beyond Sausage', 'Moroccan Glow Bowl', 'Matcha Bowl', 'Kids Chicken Wrap', 'Vegetarian Caesar Salad']",Turkey Bacon Avocado Panini,11635,Spicy Chicken Panini,5758,Beyond Burger,4465
5,L69HYJ4Y3TR91,1,1,1,2,19336,48,['2023-01-10'],['Impossible Sausage Patty'],['Impossible Sausage Patty'],"['Breakfast Sandwich', 'Aloha (Pineapple & Coconut)']",Breakfast Sandwich,5681,Breakfast Sandwich,5681,Impossible Sausage Patty,170
6,ED5J990H5VAZT,1,5,5,30,93336,69,['2021-10-01'],"['Vegan Bacon', 'Vegan Cream Cheese', 'Vegan Egg', 'Vegan Cheese', 'Vegan Sausage Patty']","['Vegan Bacon', 'Vegan Cream Cheese', 'Vegan Egg', 'Vegan Cheese', 'Vegan Sausage Patty']","['Awkward Aardvark', 'Bagel', 'Griffith Street', 'Egg Cheese', 'Toby Toast', 'Egg Meat Cheese', 'Yeti Sandwich', 'The Jesse Sandwich', 'The Yeli Sandwich', 'One Punch', 'The Paul', 'Fullmetal Alchemist', 'Egg Hummus Pesto', 'Anam A Nom', 'Build Your Own', 'Garden Home', 'Careless Whisper', 'The Dook', 'Oatmeal', 'Avobagel', 'The Craven', 'Danish Blueberry', 'Egg Meat', 'Chocolate Muffin', 'Croissant Plain', 'Egg', 'Avocado Toast', 'Bacon', 'Simple Salad', 'Sausage']",Awkward Aardvark,11514,Awkward Aardvark,11514,Vegan Bacon,680
7,W8T41JZK0ZMEP,5,7,17,52,102258,130,"['2020-04-27', '2020-07-13', '2020-09-29', '2021-02-04', '2021-03-06']","['Vegan Cupcake', 'Vegan GF Cake Slice', 'Vegan Cheesecake', 'Vegan Raspberry Lemon No Bake', 'Vegan Egg', 'Vegan Cheese', 'Vegan Sausage Patty']","['Vegan Cupcake', 'Vegan GF Cake Slice', 'Vegan Cheesecake', 'Vegan Raspberry Lemon No Bake', 'Vegan Cookie Bar', 'Carrot Cake', 'Peanut Butter Scotchy Bar', 'Fudgy Brownie', 'Pumpkin Muffin', 'Vegan Lemon Bar', '""Twix"" Bar VGf', 'Pumpkin Waffles', 'Vegan Egg', 'Vegan Cheese', 'Vegan Sausage Patty', 'Beyond Burger', 'Vegan Sour Cream']","['Vegan Breakfast Sandwich', 'Breakfast Wrap', 'Vegan Cookie Bar', 'Carrot Cake Cupcake', 'Breakfast Bowl', 'Peanut Butter Scotchy Bar', 'Fudgy Brownie', 'Carrot Cake Smoothie Bowl', 'Veggie Grilled Cheese', 'Tacos', 'Quesadilla', 'Fudgy Espresso Brownie', 'Beyond Burger', 'Pumpkin Muffin', 'Matcha Love Bowl', 'Tex Mex Burrito Bowl', 'Specialty Smoothie Bowl', 'Mediterranean Falafel Salad', 'Asian Peanut Noodles', 'Southwest Salad', 'Vegan Cupcake', 'The Big Salad', 'Great Pumpkin Bowl', 'Curry', 'Daily Special', ""Farmer's Market Salad"", 'Vegan Cheesecake', 'Banh Mi', 'Vegan Chicken Wrap', 'Reuben-Vegan Or Regular', 'Kale! Ceasar Salad', 'Green Goddess Salad Bowl', 'Sw Burrito Bowl', 'Quiche', 'Winter Salad', 'Autumn Salad', 'Sw Burrito Wrap', 'Carrot Cake', 'Pumpkin Waffles', 'Sushi Bowl', 'Pomegranate Power Salad', 'Vegan Lemon Bar', 'Pineapple Coconut Rice Bowl', 'Winter Protein Salad', 'Apple Walnut Salad', 'Vegan Mac Cheese', 'Vegan Gf Cake Slice', 'Cauliflower Flatbread Pizza', 'Vegan Shepards Pie', 'Savory Mushroom Flatbread', 'Spinach Salad', '""Twix"" Bar VGf']",Pb & J Bowl,14875,Vegan Breakfast Sandwich,4240,Vegan Cheese,835
8,EMBVNVD207CC6,1,3,3,11,23169,57,['2020-09-03'],"['Vegan Cheese', 'Vegan Pepperoni/Sausage', 'Vegan Ground Beef']","['Vegan Cheese', 'Vegan Pepperoni/Sausage', 'Vegan Ground Beef']","['Vegan Spinach Dip', 'Kalamata Cucumber Salad', 'Rainbow Pride Salad', 'Cheese Pizza', 'Pepperoni Pizza', 'Red Pie (Vegan) Pizza', 'Pie Of The Week Pizza', 'Pizza', 'Breadsticks', 'Totchos', 'Vegan Chili']",Pie Of The Week Pizza,4231,Pie Of The Week Pizza,4231,Vegan Pepperoni/Sausage,2962
9,C0BE4NDSW26QN,2,2,2,4,262967,265,"['2018-05-24', '2019-09-03']","['Impossible Burger', 'Beyond Burger']","['Impossible Burger', 'Beyond Burger']","['Beef Burger', 'Burger', 'Impossible Burger', 'Beyond Burger']",Wings,36782,Burger,22518,Impossible Burger,1508
10,V3Q26BHF3SE2H,4,4,4,13,43992,36,"['2021-03-06', '2021-03-24', '2021-06-11', '2021-09-18']","['Beyond Sausage', 'Gardein Chicken', 'Vegan Bacon', 'Vegan Breakfast Sausage Patty']","['Beyond Sausage', 'Gardein Chicken', 'Vegan Bacon', 'Vegan Breakfast Sausage Patty']","['16th Seed', 'Arbutus Avo', 'Caprese', 'Turkey', ""Wake N' Bacon"", 'Wings (V)', 'Bbq Chicken', 'Southwest', 'Southwest Panini', 'Southwest Sausauge Egg & Cheese', 'Southwest Sec', 'Chipotle Sausage Egg Cheese', 'Sausage Egg And Cheese']",Wake N' Bacon,12642,Wake N' Bacon,12642,Gardein Chicken,665
