,location_id,num_of_items_case_sens,num_of_items_not_case_sens,difference
0,0RJH3FFPYBPEY,216,216,0
1,1SQPTEGYPH0GA,890,842,48
2,3AXDVZJYN9DRS,1142,1128,14
3,75WYSXR9QBK5M,300,282,18
4,78AY09MVJVTYE,407,404,3
5,9XKJD8DQTH559,1764,1722,42
6,AQD04SM0J92WA,456,454,2
7,C0BE4NDSW26QN,2381,2359,22
8,CB2KHY1C2G9PT,382,373,9
9,EMBVNVD207CC6,1771,1760,11
10,JHDN7CF1C03X5,253,248,5
11,L3XS7WSJ4AJA3,413,405,8
12,L69HYJ4Y3TR91,160,160,0
13,LBMCPAYT7W36V,1210,1195,15
14,LBZEEFSBJNB3Z,198,188,10
15,LFZFT3VASXPED,87,86,1
16,LQ5EH4BKGV61T,90,89,1
17,LZ5MR1TS37E7W,44,44,0
18,MS8R16DY0JQAM,73,73,0
19,N0PC58FB2XAZ3,305,304,1
20,S8MT0YGD2KTN9,137,134,3
21,SAFK7ND1HR6XS,145,141,4
22,SRQS8F7JWA9MZ,68,67,1
23,V3Q26BHF3SE2H,408,403,5
24,W8T41JZK0ZMEP,829,810,19
25,WJA3YCD4QBWRX,62,62,0
26,1G5AJ17XCH2A8,76,71,5
27,ADPFRN3QZRCXK,1058,1052,6
28,ED5J990H5VAZT,1470,1333,137
29,2HRX9P6HKXA8V,292,277,15
