,location_id,distinct_unit_prices_count,distinct_unit_prices_total
0,0RJH3FFPYBPEY,58,166
1,1SQPTEGYPH0GA,285,2074
2,3AXDVZJYN9DRS,737,3197
3,75WYSXR9QBK5M,82,189
4,78AY09MVJVTYE,201,1472
5,9XKJD8DQTH559,550,1751
6,AQD04SM0J92WA,188,2596
7,C0BE4NDSW26QN,836,1398
8,CB2KHY1C2G9PT,148,1511
9,EMBVNVD207CC6,730,1756
10,JHDN7CF1C03X5,159,1000
11,L3XS7WSJ4AJA3,312,2115
12,L69HYJ4Y3TR91,104,736
13,LBMCPAYT7W36V,292,834
14,LBZEEFSBJNB3Z,121,405
15,LFZFT3VASXPED,65,441
16,LQ5EH4BKGV61T,52,193
17,LZ5MR1TS37E7W,14,62
18,MS8R16DY0JQAM,61,816
19,N0PC58FB2XAZ3,169,586
20,S8MT0YGD2KTN9,92,1937
21,SAFK7ND1HR6XS,32,94
22,SRQS8F7JWA9MZ,52,236
23,V3Q26BHF3SE2H,203,1503
24,W8T41JZK0ZMEP,360,2150
25,WJA3YCD4QBWRX,33,564
26,1G5AJ17XCH2A8,28,127
27,ADPFRN3QZRCXK,524,935
28,ED5J990H5VAZT,600,4834
29,2HRX9P6HKXA8V,198,1888
