canonical_name,variants,reasoning
Amaretti Cookies,['Amaretti Cookies'],Amaretti cookie spelling variants.
Biscotti,['Biscotti'],Biscotti variants.
Black And White Cookie,['Black And White Cookie'],Black & White cookie spelling variants.
Box Lunch,['Box Lunch'],Box lunch catering variants.
Caesar Salad,['Caesar Salad'],Caesar salad variants.
Cannoli,['Cannoli'],Cannoli size variants.
Caprese Sandwich,['Caprese Sandwich'],Caprese sandwich/panini variants.
Cheesecake,['Cheesecake'],Cheesecake variants.
Date Night,['Date Night'],Date Night special variants.
Difrancos,['Difrancos'],Difranco's product variants.
Fettuccine,['Fettuccine'],Plain fettuccine variants.
Garlic Bread,['Garlic Bread'],Garlic bread/toast variants.
Meat Lasagna,['Meat Lasagna'],Meat lasagna size variants.
Penne,['Penne'],Plain penne size variants.
Portobello,['Portobello'],Portobello spelling variants.
Pumpkin Pappardelle,['Pumpkin Pappardelle'],Pumpkin Pappardelle spelling variants.
Restaurant Week,['Restaurant Week'],Restaurant Week special variants.
Ricotta Cookies,['Ricotta Cookies'],Ricotta cookie variants.
Sausage Lasagna,['Sausage Lasagna'],Sausage lasagna variants.
Spaghetti,['Spaghetti'],Plain spaghetti size variants.
Spinach Lasagna,['Spinach Lasagna'],Spinach lasagna variants.
Stuffed Shells,['Stuffed Shells'],Stuffed Shells variants.
Tiramisu,['Tiramisu'],Tiramisu variants.
Tomato Sauce,['Tomato Sauce'],Tomato sauce retail variants.
Veggie Lasagna,['Veggie Lasagna'],Veggie lasagna size variants.
Vodka Sauce,['Vodka Sauce'],Vodka sauce variants.
Wedding Cookies,['Wedding Cookies'],Wedding cookie variants.
Italian Cuban,['Italian Cuban'],"Same item, hyphen vs space."
Hh Meat And Cheese,['Hh Meat And Cheese'],"Same item, And vs no And."
Pasta With Pesto,['Pasta With Pesto'],Same pasta dish.
Ricotta Cheese,['Ricotta Cheese'],"Same item, word order reversed."
Cold Cut,['Cold Cut'],"Same sandwich, Sandwich prefix removed."
Pasta Gluten Free,['Pasta Gluten Free'],"Same pasta, word order."
Meat And Cheese,['Meat And Cheese'],"Same item, And removed."
Pesto Chicken Sandwich,['Pesto Chicken Sandwich'],Same sandwich item.
Sandwich Red Pepper,['Sandwich Red Pepper'],Same sandwich item.
Tomato Salad,['Tomato Salad'],"Same salad, word order."
Sausage Sandwich,['Sausage Sandwich'],"Same sandwich, word order."
Chicken Parm And Spaghetti,['Chicken Parm And Spaghetti'],"Same dish, different separators."
Chicken Parm Sandwich,"['Chicken Parm Sand', 'Chicken Parm Sandwich', 'Sandwich Chicken Parm']","Same sandwich item, word order and abbreviation variants."
Chicken Parm Side,"['Chicken Parm Side', 'Side Chicken Parm', 'F Chicken Parm', 'H Chicken Parm', 'Hh Chicken Parm']","Same side dish item, size prefixes and word order variants."
Chicken Parm Sliders,"['Chicken Parm Sliders', 'Sliders Chicken Parm']","Same slider item, word order variant."
Eggplant Parm And Spaghetti,['Eggplant Parm And Spaghetti'],"Same dish, different separators."
