"canonical_name","variants","reasoning"
"Big Bob Bratwurst","['Big Bob Bratwurst']","Pork bratwurst"
"Bockwurst","['Bockwurst']","German pork/veal sausage"
"Weisswurst","['Weisswurst']","Pork and veal sausage"
"Dirtyface Beer Wurst","['Dirtyface Beer Wurst']","Pork sausage with beer"
"Currywurst","['Currywurst', ""Curt'S Currywurst""]","Currywurst variants"
"Chicken","['Chicken']","Plain chicken - not sausage form"
"Chicken Sausage","['Chicken Sausage', 'Mediterranean Chicken Sausage', 'Organic Chicken Sausage', 'Smoked Chicken Apple', 'Spinach Organic Chicken']","Chicken in sausage form"
"Italian Organic Chicken","['Italian Organic Chicken']","Italian organic chicken - not sausage"
"Organic Chicken","['Organic Chicken']","Plain organic chicken"
"Helgas Giant Kelbassi","['Helgas Giant Kelbassi']","Polish kielbasa"
"Chili","['Chili']","Beef chili"
"Chili Con Carne","['Chili Con Carne']","Beef chili con carne"
"Vegan Chili","['Vegan Chili']","Vegan chili"
"Bavarian Cream Of Potato Soup","['Bavarian Cream Of Potato Soup']","Cream of potato soup"
"Soup","['Soup']","Generic soup"
"Vegan Soup","['Vegan Soup']","Vegan soup"
"Veggie Soup","['Veggie Soup']","Veggie soup"
"Large Sauerkraut - 8Oz Bowl","['Large Sauerkraut - 8Oz Bowl']","Sauerkraut"
"German Potato Salad","['German Potato Salad']","German potato salad"
"Warm Bavarian Pretzel","['Warm Bavarian Pretzel']","Bavarian pretzel"
"Potato Chips","['Potato Chips']","Potato chips"
"Gingerbread Cookie","['Gingerbread Cookie']","Gingerbread cookie"
"Apple Slices","['Apple Slices']","Fresh apple"
"Add Ons","['Add Ons']","Add-ons"
"Gluten Free Bun","['Gluten Free Bun']","GF bun"
"G.P.S.","['G.P.S.']","G.P.S. combo"
"Big City Beef Frank","['Big City Beef Frank']","Beef hot dog"
"Turkey Dog","['Turkey Dog']","Turkey hot dog"
"Hans Jalapeno Cheddar","['Hans Jalapeno Cheddar']","Jalapeño cheddar sausage"
"Beyond Sausage","['Beyond Sausage']","Vegan Beyond sausage"
"Veggie Wurst","['Veggie Wurst']","Vegetarian Field Roast sausage"
