canonical_name,variants,reasoning
Avocado Fries,['Avocado Fries'],
BBQ,"['Bbq', 'Bbq Pork Skewers']",
BBQ Brisket Sandwich,['Guava Smoked Bbq Brisket Sandwich'],
BBQ Chicken Sausage,"['Bbq Chicken Sausage', 'Bbq Chicken Sausage Piece']",
Baked Goods,"['$2 Baked Goods', '$3 Baked Goods', '$4 Baked Goods', '$5 Baked Goods', '$6 Baked Goods', 'Baked Goods']",
Beef Chili,"['Beef Chili', 'Chili Plate']",
Bento,"['$9 Bento', 'Bento', 'Bentos', 'Mini Bento']",
Bratwurst,"['Beer Bratwurst', 'Bratwurst']",
Bread Loaf,"['Baked Bread Loaf', 'Bread Loaf']",
Breakfast,['Fried Breakfast Stick'],
Breakfast Sausage,"['Breakfast', 'Breakfast Sausage', 'Breakfast Sausages']",
Bucket Chicken,['Bucket Chicken'],
Burger,"['Bacon Mushroom Swiss Burger', 'Bbq Burger', 'Island Burger', 'Kimchee Veggie Burger', 'Kimchi Burger']",
Char Siu,"['Char Siu', 'Char Siu Fried Rice', 'Char Siu Sausage', 'Char Siu Sausages']",
Charcuterie,['Charcuterie'],
Chicago Dog,['Chicago Dog'],
Chicken Lettuce Wrap,"['Caesar Chicken Wrap', 'Chicken Lettuce Wrap', 'Hh Chicken Lettuce Wrap']",
Chicken Pesto Sausage,"['Chicken Pesto', 'Chicken Pesto Sausage']",
Chicken Salad,"['Chicken Salad', 'Chinese Chicken Salad']",
Chicken Sandwich,"['Fried Chicken Sandwich', 'Spicy Chicken Sandwich']",
Chili Dog,['Chili Dog'],
Chocolate Cake Slice,['Chocolate Cake Slice'],
Chorizo,"['Chorizo', 'Chorizo Cheese Dip', 'Chorizo Sausage', 'Chorizo Sausages', 'Chorizo Sticks', 'Fried Chorizo Stick', 'Spanish Chorizo']",
Corned Beef Sausage,['Corned Beef Sausage'],
Deli Sandwich,['Deli Sandwich'],
Dessert,['Dessert'],
Doublefat Ice Cream,['Doublefat Ice Cream'],
Edamame,"['Chili Garlic Edamame', 'Garlic Soy Edamame']",
Empanada,"['Empanada', 'Empanada 1']",
Finocchiona,['Finocchiona'],
Firecracker Sandwich,['Firecracker Sandwich'],
