canonical_name,variants,reasoning
Veggielito,"['$3 Veggielito', '$3.5 Veggielito', '$5 Veggielito', 'Veggie-Lito', 'Veggielito']","Same veggie hot dog, price/spelling variants"
Chilito,"['$3 Chilito', '$5 Chilito', 'Chilito']","Same chilito, price variants"
Halfsmoke,"['Halfsmoke', 'Halfsmokes']","Same item, plural variant"
Bratwurst,"['Bratwurst', 'Bratwurst Link']","Same item, link format"
Chorizo,"['Chorizo', 'Chorizo Link']","Same item, link format"
Italian,"['Italian', 'Italian Link']","Same sausage, link format"
Garlic Pork,"['Garlic Pork', 'Garlic Pork Link']","Same sausage, link format"
Halfsmoke Link,"['Halfsmoke', 'Halfsmoke Link']","Same item, link format"
Smoked Jalapeno Chicken,"['Smoked Jalapeno Chicken', 'Smoked Jalapeno Chicken Link']","Same chicken sausage, link format"
Smoked Spicy Chicken,"['Smoked Spicy Chicken', 'Smoked Spicy Chicken Link']","Same chicken sausage, link format"
Salt & Pepper Chicken,"['Salt & Pepper Chicken', 'Salt And Pepper Chicken Link']","Same chicken sausage, ampersand/naming variant"
Egg & Cheese Sandwich,"['Egg & Cheese', 'Egg & Cheese Sandwich', 'Egg And Cheese Sandwich']","Same sandwich, naming variants"
Egg & Cheese Biscuit,"['Egg & Cheese On A Biscuit (Sunday Only!)', 'Egg & Cheese On A Biscuit (Sundays Only!)']","Same biscuit sandwich, day variants"
Bacon Egg & Cheese,"['Bacon Egg And Cheese Biscuit', 'Bacon Egg And Cheese On A Biscuit (Sunday Only!)', 'Bacon, Egg & Cheese']","Same sandwich, biscuit/day variants"
"Ham, Egg & Cheese","['Ham, Egg & Cheese', 'Ham, Egg & Cheese (New!)', 'Ham, Egg & Cheese Biscuit', 'Ham, Egg & Cheese On A Biscuit (Sunday Only!)']","Same sandwich, day/format variants"
"Sausage, Egg & Cheese","['Sausage Egg And Cheese On A Biscuit (Sunday Only!)', 'Sausage, Egg & Cheese']","Same sandwich, day variants"
Veggie Sausage Egg & Cheese,"['Veggie Sausage Egg & Cheese', 'Veggie Sausage Egg Cheese Biscuit', 'Veggie Sausage Egg Cheese Biscuit (Sunday Only)']","Same sandwich, day/biscuit variants"
Breakfast Burrito,"['Breakfast Burrito', 'Breakfast Burrito (Saturday Only!)', 'Breakfast Burrito (Saturday Only!) - Preorder', 'Breakfast Burrito (Saturday Only!) - Preorder For 10Am Saturday']","Same burrito, day/preorder variants"
Breakfast Sausage Pack,"['Breakfast (8Oz Pack)', 'Breakfast Sausage (10Oz Pack)', 'Breakfast Sausage (8Oz Pack)']","Same product, size variants"
Crispy Potatoes,"['$2 Crispy Potatoes', 'Crispy Potatoes', 'Crispy Potatoes (New!)']","Same side, price/(new) variants"
Potatoes,"['Potatoes', 'Potatoes (New!)']","Same side, (new) variant"
Hot Sauce,"['Hot Sauce', 'Hot Sauce!', 'Meats & Foods Hot Sauce', 'Meats & Foods Hot Sauce Refill', 'Meats & Foods Hot Sauce Refill (Bottle Exchange)']","Same product, punctuation variants"
Hot Sauce Refill,"['Meats & Foods Hot Sauce Refill', 'Meats & Foods Hot Sauce Refill (Bottle Exchange)']","Same refill product, bottle exchange variant"
Black On Black Shirt,"['Black On Black', 'Black On Black (M  & Xs Only)', 'Black On Black (S Only)', 'Black On Black T-Shirt']","Same shirt, size variants"
Black On Black Crewneck,"['Black On Black Crewneck', 'Black On Black Crewneck (L-2Xl Only)', 'Black On Black Crewneck (Xxl Only)']","Same crewneck, size variants"
Black Sweatshirt,"['Black Sweatshirt', 'Black Sweatshirt (L Only)']","Same sweatshirt, size variants"
Hot Dog Man Shirt,"['Hot Dog Man Shirt', 'Hot Dog Man Shirt #2 (M And Xl Only)', 'Hot Dog Man Shirt #2 (New!)', 'Hot Dog Man Shirt #2 (Xl Only)', 'Hot Dog Man Shirt #2 (Xs Only)', 'Hot Dog Man Shirt (M Only)', 'Hot Dog Man Shirt (S And M Only)', 'Hot Dog Man Shirt (S Only)']","Same shirt, version/size variants"
Logo T,"['Logo T', 'Logo T (S And M Only)', 'Logo T (S Only)']","Same shirt, size variants"
Long Sleeve T,"['Long Sleeve T', 'Long Sleeve T (New!)', 'Long Sleeve T (S, Xxl And Xxl)', 'Long Sleeve T (Xs Only)', 'Long Sleeve T (Xxl And Xxxl)']","Same shirt, size/(new) variants"
Sweatshirt,"['Sweatshirt', 'Sweatshirt (M Only)', 'Sweatshirt (S And M Only)', 'Sweatshirt For Melissa']","Same sweatshirt, size variants"
Gray Tee,"['Gray Tee', 'Gray Tee (S And M Only)']","Same shirt, size variants"
Chilito Shirt,"['Chilito Shirt', 'Chilito Shirt (M Only)', 'Chilito Shirt (S And M Only)']","Same shirt, size variants"
Tank Top,"['Tank Top', 'Tank Top (S Only)']","Same tank, size variants"
Pack Of Buns,"['Pack Of Buns', 'Pack Of Buns (Limit 1 Per Order)']","Same product, limit notation variant"
Veggie Link,"['Veggie Link', 'Veggie Link (Limit 3)']","Same product, limit notation variant"
Quart Of Chili,"['Quart Of Chili', 'Quart Of Chili (Limit 1)']","Same product, limit notation variant"
Tote Bag,"['Tote Bag', 'Tote Bag (New!)']","Same product, (new) variant"
Pint Of Sauerkraut,"['Pint Of Kraut', 'Pint Of Sauerkraut']","Same product, naming variants"
Pint Of Pickled Jalapenos,"['Pint Of JalapeñOs', 'Pint Of Pickled JalapeñOs']","Same product, naming variants"
13th Street Meats Shirt,"['13Th St Meats Shirt, Red', '13Th St Meats Shirt, Red (S And L Only)', '13Th St Meats Shirt, Red (S Only)', '13Th Street Meats Shirt, Black', '13Th Street Meats Shirt, Black (Xxl Only)']","Same shirt, size/color variants"
Ice Cream Sandwich,"['Ice Cream Sandwich', 'Vanilla Ice Cream Sandwich By Milkcult']","Same dessert, flavor variants"
Dippy Boys Ice Cream,"['Dippy Boys By Milk Cult (Makrut Lime With Candy Shell & Crispy Rice) *Vegan*', 'Dippy Boys By Milk Cult (Vanilla With Chocolate Shell & Potato Chip)', 'Tiny Party Dippy Boys Ice Cream Novelty Products By Milk Cult™']","Same product, flavor variants"
Biscuit,"['Biscuit', 'Biscuit Sunday', 'Plain Biscuit']","Same biscuit, naming variants"
Side Of Chili,"['Side Chili', 'Side Of Chili']","Same side, wording variant"
