canonical_name,variants,reasoning
"""007""","['""007""']",Individual item (was in misc group)
(K) Chicken & Rice,['(K) Chicken & Rice'],
(K) Pizza Rolls,['(K) Pizza Rolls'],Individual item (form factor split)
(K) Rice Spaghetti Sauce,['(K) Rice & Spaghetti Sauce'],Individual item (form factor split)
(K) Spaghetti,['(K) Spaghetti'],Individual item (form factor split)
(K) Veggie & Rice,"['(K) Veggie & Rice', '(K) Veggie Rice']",
2 Day Grass-Fed Chili (16 Oz),"['2 Day Grass-Fed Chili (16 Oz)', '2 Day Grass-Fed Chili For Cabbagetown  (16 Oz)']",Same chili product.
3 Day Ramen,['3 Day Ramen'],Individual item (form factor split)
300 App Spread,['300 App Spread'],Individual item (form factor split)
420,['420'],
48 Hour Marinated Chkn Thigh Sticky Rice,['48 Hour Marinated Chkn Thigh & Sticky Rice'],Individual item (form factor split)
Aebleskivers,"['Aebleskivers', 'Aebleskivers³']","Same Danish pancake dish, special character variant"
Apple Moat,['Apple Moat'],Individual item (form factor split)
Apple Tart,['Apple Tart'],Individual item (form factor split)
Arancini,"['Arancini', 'Braciole Fried Arancini', 'Fried Arancini', 'Lions Mane Arancini Squares']",Arancini variants.
Asian Slaw,['Asian Slaw'],Individual item (form factor split)
Asparagus & Mushrooms,"['Asparagus & Mushrooms', 'Carrot & Asparagus W/ Tiger Sauce', 'Roasted Asparagus & Mushrooms']",
BYO Pizza,"['Build Your Own Pizza', 'Build Your Own Pizza Test', 'Byo Pizza', 'Byo Pizza Gluten Free', 'Byo Pizza Large', 'Byo Pizza Small', 'Gluten Free Byo Pizza']",Same build-your-own pizza with size/test variants
Baby Jamey,['Baby Jamey'],Individual item (was in misc group)
Bacon,"['Brown Cage Free Eggs (M)', 'House Bacon', 'Hunter Cattle Pastured Bacon', 'Market Bacon', 'Side Of Bacon']",Bacon/eggs
Bacon Blue Cheese House Chips,['Bacon & Blue Cheese House Chips'],Individual item (form factor split)
Bacon Egg Grilled Cheese,"['Bacon Egg Grilled Cheese', 'Egg Sandwich']",Individual item (form factor split)
Bacon Is My Jam,['Bacon Is My Jam'],Individual item (was in misc group)
Banana Pudding,['Banana Pudding'],Individual item (form factor split)
Banana Pudding For Two,['Banana Pudding For Two'],Individual item (form factor split)
Bananas Foster,['Bananas Foster'],Individual item (form factor split)
Bao,"['Bao', 'Bao (Brunch)', 'Bao Of The Day', 'Cauliflower Bao', 'Hoisin Boston Butt Bao', 'Hoisin Mushroom Bao', 'Mushroom Bao', 'Thit Kho Bao']","Same bao dish, brunch variant"
Be Mine Appetizer,['Be Mine Appetizer'],Individual item (was in misc group)
Beef Asian,['Beef Teriyaki'],Split from mixed-category Asian - beef items
Beef Bao,"['Flank Steak Bao', 'Hoisin Meatball Bao Bun', 'Mongolian Beef Bao']",Split from mixed-category Bao - beef items
Beef Benedict,"['Biscuit Filet Benedict', 'Brisket Benedict', 'Filet Benny']",Split from mixed-category Benedict - beef items
Beef Biscuit,['Biscuit Filet Benedict'],Split from mixed-category Biscuit - beef items
Beef Bowl,['Vegan Beef Bowl'],Split from mixed-category Bowl - beef items
Beef Burger,"['Burger Week - Bulgogi', 'Burger Week - Korean Bbq']",Split from mixed-category Burger - beef items
Beef Egg Roll,['Mongolian Beef Egg Rolls'],Split from mixed-category Egg Roll - beef items
Beef Entrees,['Beef Stroganoff Bread Bowl'],Split from mixed-category Entrees - beef items
Beef Fried Rice,['Mongolian Beef Fried Rice'],Split from mixed-category Fried Rice - beef items
Beef Meatball,"['Hoisin Meatball Bao Bun', 'Korean Bbq Meatballs', 'Meatball Slider', 'Meatball Sub', 'Mezcal Tomato Meatballs', 'Ricotta Meatball Pasta', 'Ricotta Meatball Pizza', 'Ricotta Meatball Sub', 'Ricotta Meatballs']",Split from mixed-category Meatball - beef items
Beef Mushroom,['Chomp Mushroom Cheesesteak'],Split from mixed-category Mushroom - beef items
Beef Pizza,"['Mongolian Beef Pizza', 'Ricotta Meatball Pizza']",Split from mixed-category Pizza - beef items
Beef Poutine,"['Mongolian Beef Poutine', 'Steak Poutine And Eggs']",Split from mixed-category Poutine - beef items
Beef Quesadilla,['Mongolian Beef Quesadilla'],Split from mixed-category Quesadilla - beef items
Beef Salad,['Brisket Salad'],Split from mixed-category Salad - beef items
Beef Sandwich,"['Cheesesteak', 'Chomp Cheesesteak', 'Hh Cheesesteak']",Split from mixed-category Sandwich - beef items
Beef Taco,"['Brisket Taco', 'Brisket Tacos', 'Mongolian Beef Taco', 'Prime Rib Taco', 'Steak Taco']",Split from mixed-category Taco - beef items
Beef Tostada,"['Ribeye Tostado', 'Black Bean Sunny Egg Tostada']",Split from mixed-category Tostada - beef items
Beer Cheese Bites,['Beer Cheese Bites'],Individual item (form factor split)
Beignets,['Beignets'],Individual item (form factor split)
Benedict,"['Benedict', 'Mortadello Benny', 'Ultimate Benedict Saturday', 'Ultimate Benedict Sunday', 'Ultimate Benedicts (4 Options)']",Split from mixed-category Benedict - neutral items
Best Damn Coffee Cake,['Best Damn Coffee Cake'],Individual item (form factor split)
Bird'S Nest,"[""Bird'S Nest""]",Individual item (was in misc group)
Biscuit,"['Biscuit', 'Biscuit & Jam', 'Biscuit And Gravy', 'Biscuit Sandwiches', 'Biscuit, Egg', 'Buttermilk Biscuit', 'Buttermilk Biscuit & Bacon', 'Buttermilk Biscuit & Butter', 'Buttermilk Biscuit & Ham', 'Buttermilk Biscuit Sandwiches', 'Buttermilk Biscuits, Eggs, & Cheese', 'Buttermilk Biscuit Ham', 'Buttermilk Biscuits, Eggs, Cheese']",Split from mixed-category Biscuit - neutral items
Biscuit & Red Eye Gravy,"['Biscuit & Red Eye Gravy', 'Biscuit Red Eye Gravy']","Same dish, formatting variants"
Black Cocoa Miso Ice Cream Sandwich,"['Black Cocoa Miso Chocolate Chip Ice Cream Sandwich', 'Black Cocoa Miso Chocolate Chip Ice Cream Sandwich.', ""Jc'S Black Cocoa Miso Chocolate Chip Ice Cream Sandwich"", 'Mcs Black Cocoa Miso Chocolate Chip Ice Cream Sandwich.']","Same specialty sandwich, punctuation/initial variants"
Blistered Shishito Peppers,['Blistered Shishito Peppers'],Individual item (form factor split)
Blondie Brownie With Caramel,['Blondie Brownie With Caramel'],Individual item (form factor split)
Blueberry Cobbler W Ging. Lav.,['Blueberry Cobbler W/ Ging. Lav.'],Individual item (form factor split)
Boiled Peanuts,"['Boiled Peanuts', 'Cajun Boiled Peanuts', 'Market Boiled Peanuts', 'Sesame Boiled Peanuts', 'Soy Sesame Chili Boiled Peanuts', 'Spicy Peanuts', 'Szechuan Boiled Peanuts']",Boiled peanut variants.
Boston Butt Mac & Cheese,"['Boston Butt Mac & Cheese', 'Boston Butt Mac Cheese']","Same dish, ampersand variants"
Bowls,['Bowls'],Individual item (form factor split)
Braciole Entree,['Braciole Entree'],Individual item (form factor split)
Branzino,['Branzino'],Individual item (form factor split)
Bread Pudding,"['Bread Pudding', 'Cornbread Pudding', 'Peach Bread Pudding', 'Southern Biscuit Blueberry Bread Pudding']",Bread pudding variants.
