"canonical_name","variants","reasoning"
"Breakfast Sandwich","['Anam A Nom', 'Awkward Aardvark', 'Croque Madame', 'Egg & Cheddar', 'Egg Meat', 'Egg Meat Cheese', 'Egg Sandwich', 'Griffith Street', 'Sandwich - Breakfast', 'The Craven', 'The Paul', 'Yeti Sandwich']","Grouped similar breakfast sandwich items from cafe menu"
"Avocado Toast","['Avocado Toast', 'Careless Whisper', 'Full Metal Alchemist', 'Fullmetal Alchemist', 'One Punch', 'Toast', 'Toby Toast']","Grouped similar avocado toast items from cafe menu"
"Bagel","['Avobagel', 'Bagel', 'Garden Home']","Grouped similar bagel items from cafe menu"
"Sandwich","['Caveman', 'Chicken Salad Sandwich', 'Chicken Salad Sandwich With Side Salad', 'Egusto', 'Egusto Mato', 'Egusto Swanson', 'Pastrami Sandwich With Side Salad', 'The Dook', 'The Jesse Sandwich', 'The Yeli Sandwich', 'Tom Swanson', 'Tomwich', 'Turkey Sandwich', 'Turkey Sandwich With Side Salad', 'Vegan The Jesse Sandwich', 'Veggie Sandwich']","Grouped similar sandwich items from cafe menu"
"Egg","['Egg', 'Egg Hummus Pesto', 'Veggie', 'Veggie & Hummus']","Grouped similar egg items from cafe menu"
"Croissant","['Croissant Almond', 'Croissant Chocolate', 'Croissant Cinnamon Twist', 'Croissant | Chocolate', 'Croissant | Plain']","Grouped similar croissant items from cafe menu"
"Danish","['Danish - Blueberry', 'Danish - Lemon', 'Danish | Blueberry', 'Danish | Lemon']","Grouped similar danish items from cafe menu"
"Scone","['Bacon, Cheddar & Chive Scone', 'Scone', 'Scone - Blueberry', 'Scone - Vanilla Bean', 'Scone | Blueberry', 'Scone | Vanilla Bean', 'Vanilla Scone']","Grouped similar scone items from cafe menu"
"Muffin","['Muffin', 'Muffin - Marionberry', 'Muffin | Chocolate', 'Muffin | Marionberry Cobbler']","Grouped similar muffin items from cafe menu"
"Cookie","['Cookie Sampler', 'Cookie | Chocolate Chip', 'Cookie | Oatmeal', 'Cookies', 'Day Old Cookie', 'House Made Cookie', 'Pandan Cookie', 'Strawberry Matcha Cookie']","Grouped similar cookie items from cafe menu"
"Pastry","['Apple Strudel', 'Bear Claw', 'Butterhorn Berry', 'Cream Cheese Pocket', 'Mochi Cupcake', 'Mochi Waffle (Weekends From 9Am-1Pm)']","Grouped similar pastry items from cafe menu"
"Bread","['Banana Bread', ""Dave'S Killer Bread"", 'Little Little Loaf', 'Pumpkin Bread', 'Whole Grain']","Grouped similar bread items from cafe menu"
"Dessert","['Brownie', 'Flan', 'Pumpkin Pie', 'Sea Salt Caramel Nutella', 'Strawberry White Chocolate']","Grouped similar dessert items from cafe menu"
"Donut","['Donut']","Grouped similar donut items from cafe menu"
"Oatmeal","['Oatmeal']","Grouped similar oatmeal items from cafe menu"
"Salad","['Salad', 'Simple Salad']","Grouped similar salad items from cafe menu"
"Hummus","['Hummus', 'Hummus Plate']","Grouped similar hummus items from cafe menu"
"Fruit","['Apple', 'Banana', 'Fruit']","Grouped similar fruit items from cafe menu"
"Energy Bar","['Fig Bar', 'Kind Bar', 'Kure Bar']","Grouped similar energy bar items from cafe menu"
"Side","['Bacon', 'Sausage']","Grouped similar side items from cafe menu"
"Day Old","['Day Old', 'Day Olds']","Grouped similar day old items from cafe menu"
"Build Your Own","['Build Your Own', 'Flavor', 'Variable']","Grouped similar build your own items from cafe menu"
"Special","['Bill', 'Bombay Breakfast', 'Inji', 'Tlc', 'Wow']","Grouped similar special items from cafe menu"
"to_remove","['Affogato', 'African Grey', 'Altoids', ""Annie'S"", 'Art', ""Bag O' Beans"", 'Bag Of Bagel', 'Bath Bomb', 'Bee Good', 'Bee Local Honey', 'Black Butte', 'Black Garlic Salt', 'Bookmark', 'Cardamom', 'Carton', 'Chaga', 'Chips', 'Choco Beans', 'Chocolate Chip Cookie', 'Chocolate Muffin', 'Cinnamon Roll', 'Co2 Brew', 'Cocoa Rouge', 'Coffee Cake', 'Coffee Cake Cookie', 'Concord', 'Cookie', 'Cookie - Chocolate Chip', 'Cookie - Oatmeal Raisin', 'Domo Froppo', 'Earring', 'Egift Card', 'English Breakfast', 'Enlightenmint', 'Ex. Flavor', 'Feel Better', 'Goblin King', 'Golden Fire', 'Golden Yogi', 'Green Jade', 'Gum', 'Hibiscus', 'Holographic Sticker', 'Honey Cup', 'Honey Stick Pack', 'Jacobsen', 'Jacobsen Salt Co', 'Journal', 'Kind', 'Kyushu', 'Lavender', 'Loose-Leaf Tea', 'Mango Habanero', 'Mentos', 'Milkshake', 'Mint', 'Mint/Gum', 'Mr. Tanuki', 'Necklace', 'Ninkasi', 'Oatly', 'Orange', 'Peppermint', 'Postcard', 'Print', 'Pure', 'Raw Honey Trio', 'Rxbar', 'Salt Bag', 'Salted Caramel', 'Shirt', 'Spreading Spoon', 'Steamer', 'Stickers', 'Tap', 'Vanilla Grey', 'Vanilla Rose', 'Vive', 'Weekly Special', 'Welchs', 'White Peony', 'Zone Perfect']","Non-food items (merch, drinks) to be excluded"
