canonical_name,variants,reasoning
Acai Bowl,['Acai Bowl'],Individual item (form factor split)
Blue Spirulina Bowl,['Blue Spirulina Bowl'],Individual item (form factor split)
Matcha Green Tea Bowl,['Matcha Green Tea Bowl'],Individual item (form factor split)
Pitaya Bowl,['Pitaya Bowl'],Individual item (form factor split)
Pb2 Bowl,['Pb2 Bowl'],Individual item (form factor split)
Greek Yogurt Bowl,['Greek Yogurt Bowl'],Individual item (form factor split)
Protein Bowl,['Protein Bowl'],Individual item (form factor split)
Byo ProteinSalad Bowl,['Byo Protein/Salad Bowl'],Individual item (form factor split)
City Of Cape Protein Bowl,['City Of Cape Protein Bowl'],Individual item (form factor split)
Harvest Signature Bowl,['Harvest Signature Bowl'],Individual item (form factor split)
Vegan Harvest Signature Bowl,['Vegan Harvest Signature Bowl'],Individual item (form factor split)
Protein Bowl Box,['Protein Bowl Box'],Individual item (form factor split)
Signature Bowls,['Signature Bowls'],Individual item (form factor split)
Buddha Bowl,"['Veg Buddha Bowl', 'Vegan Buddha Bowl']",Buddha bowls
Cali Bowl,"['Cali Bowl', 'Vegan Cali Bowl']",California bowls
Fiesta Bowl,"['Fiesta Bowl', 'Dairy Fiesta Bowl']",Fiesta bowls
Mediterranean Bowl,"['Mediterranean', 'Mediterranean Bowl', 'Vegan Mediterranean']",Mediterranean bowls
Moroccan Bowl,"['Moroccan Glow Bowl', 'Vegan Moroccan Glow Bowl']",Moroccan glow bowls
Teriyaki Bowl,"['Teriyaki Bowl', 'Tex Bowl']",Asian-style bowls
Soba Noodle Bowl,['Soba Noodle Bowls'],Soba noodle bowls
Beach Salad,"['Beach Salad', 'Chickenless Beach Salad']",Beach salads
Asian Salad,['Asian Sesame Salad'],Asian sesame salad
Spinach Salad,['Mediterranean Spinach Salad'],Mediterranean spinach salad
Quinoa Salad,['Quinoa Salad'],Quinoa salad
City Salad,"['City Salad', 'City Salad Protein']",City salads
