"canonical_name","variants","reasoning"
"Berry-Licious ASsai Bowl","['Berry-Licious ASsai Bowl']","Individual item (form factor split)"
"Butter-Me-Crazy ASsai Bowl","['Butter-Me-Crazy ASsai Bowl']","Individual item (form factor split)"
"Driving-Me-Hazy ASsa Bowl","['Driving-Me-Hazy ASsa Bowl']","Individual item (form factor split)"
"LetAos Get Tropical ASsa Bowl","['LetAos Get Tropical ASsa Bowl']","Individual item (form factor split)"
"Mix Match ASsa Bowl","['Mix Match ASsa Bowl']","Individual item (form factor split)"
"Aloha (Pineapple & Coconut)","['Aloha (Pineapple & Coconut)']","Individual item (form factor split)"
"Avocado Toast","['Avocado Toast']","Individual item (form factor split)"
"Grilled Cheese Toast","['Grilled Cheese Toast']","Individual item (form factor split)"
"Peanut Butter Toast","['Peanut Butter Toast']","Individual item (form factor split)"
"Blt","['Blt']","Individual item (form factor split)"
"Breakfast Sandwich","['Breakfast Sandwich']","Individual item (form factor split)"
"Gourmet Grilled Cheese","['Gourmet Grilled Cheese']","Individual item (form factor split)"
"Grilled Chicken Sandwich","['Grilled Chicken Sandwich']","Individual item (form factor split)"
"Turkey Cheddar Ciabatta Club","['Turkey Cheddar Ciabatta Club']","Individual item (form factor split)"
"Turkey Cheddar Sandwich","['Turkey Cheddar Sandwich']","Individual item (form factor split)"
"Turkey Club Wrap","['Turkey Club Wrap']","Individual item (form factor split)"
"Butter Croissant","['Butter Croissant']","Individual item (form factor split)"
"Chocolate Croissant","['Chocolate Croissant']","Individual item (form factor split)"
"Ham and Cheese Croissant","['Ham and Cheese Croissant']","Individual item (form factor split)"
"Spinach Cheese Croissant","['Spinach Cheese Croissant']","Individual item (form factor split)"
"Ham & Cheese Quiche","['Ham & Cheese Quiche']","Individual item (form factor split)"
"Quiche","['Quiche']","Individual item (form factor split)"
"Spinach Quiche","['Spinach Quiche']","Individual item (form factor split)"
"Bagel","['Bagel Joy Pizza', 'Keto Toasted Bagel', 'Toasted Bagels']","Bagel items"
"Cookie","['Chocolate Chip Cookie', 'Gluten Free Chocolate Chip Cookie', 'Keto Cookie']","Cookie varieties"
"Brownie","['Brownie', 'Gluten Free Brownie']","Brownie items"
"Muffin","['Gluten Free Muffin', 'Keto Muffins', 'Muffin']","Muffin varieties"
"Gluten Free Cheesecake","['Gluten Free Cheesecake']","Individual item (form factor split)"
"Gluten Free Chocolate Coconut Macaroon","['Gluten Free Chocolate Coconut Macaroon']","Individual item (form factor split)"
"Gluten Free Coffee Cake","['Gluten Free Coffee Cake']","Individual item (form factor split)"
"Gluten Free Whoopie Pie","['Gluten Free Whoopie Pie']","Individual item (form factor split)"
"Keto Cinnamon Rolls","['Keto Cinnamon Rolls']","Individual item (form factor split)"
"Keto Pepperoni Rolls","['Keto Pepperoni Rolls']","Individual item (form factor split)"
"Keto Scones","['Keto Scones']","Individual item (form factor split)"
"Danish","['Danish']","Individual item (form factor split)"
"Pop Tart","['Pop Tart']","Individual item (form factor split)"
"Scones","['Scones']","Individual item (form factor split)"
"Bread","['Bread', 'Fresh Baked Banana Bread']","Bread items"
"Chips","['Chips']","Chips"
"Parfait","['Very Berry Parfait']","Parfait"
