"canonical_name","variants","reasoning"
"B Sting","['B Sting', 'The B Sting']",""
"Bagel","['Better Bagel']",""
"Basic","['Basic', 'The (B)Asic', 'The Basic']",""
"Be Mine","['Be Mine']",""
"Bluebird","['Bluebird', 'The Blue Bird']",""
"Brunch Box","['Brunch Box']",""
"Campfire","['Campfire', 'The Campfire', 'The Christmas Campfire']",""
"Chavo","['Chavo', 'The Chavo']",""
"Cherry Chocolate Bowl","['Cherry Chocolate Bowl']",""
"Chicken Sausage Dipsticks","['The Chicken Sausage Dipsitcks']",""
"Choose 2 Flavors","['Choose 2 Flavors']",""
"Count","['Count', 'The Count']",""
"Dipsticks","['Bacon Dipsticks', 'Blueberry Dipsticks', 'Brownie Dipsticks', 'Cheese Dipsticks', 'Chocolate Chip Dipsticks', 'Dipsticks', 'Sausage Dipsticks', 'The Dipsticks']",""
"Extra Chicken","['Extra Chicken']",""
"Extra Toppings","['Extra Fruit', 'Extra Toppings']",""
"Favorite","['Favorite', 'The Favorite']",""
"Freaking Bomb","['Freaking Bomb', 'The Freaking Bomb']",""
"French Hen","['French Hen', 'The French Hen']",""
"Getting Figgy","['Getting Figgy', ""The Gettin' Figgy With It""]",""
"Gluten Free Chicken","['Gluten Free Chicken']",""
"Gobbler","['Gobbler']",""
"Grey Stuf","['Grey Stuf', 'The Grey Stuf']",""
"Hash Smash","['Cauliflower Hash Smash', 'Potato Hash Smash', 'The Hash Smash']",""
"Hashbrowns","['Hashbrowns', 'Side Of Hashbrowns (3)', 'Single Hashbrown']",""
"Ice Cream Nachos","['Ice Cream Nachos']",""
"Kicked Up","['Kicked Up', 'Kicked Up Avo']",""
"Nash","['Nash', 'The Nash']",""
"Nutty Monkey","['Nutty Monkey', 'The Nutty Monkey', 'The Nutty Monkey (Vegan)']",""
"Olive You","['Olive You', 'The Olive You', 'The Olive You (Vegan)']",""
"Patriot","['Patriot', 'The Patriot']",""
"Pineapple Banana Bowl","['Pineapple Banana Bowl']",""
"Plain Jane","['Plain Jane', 'The Plain Jane']",""
"Smoothie Bowl","['Smoothie Bowls', 'The Strawberry Mango Smoothie Bowl']",""
"Soft Serve","['Soft Serve']",""
"Strawberry Mango Bowl","['Strawberry Mango Bowl']",""
"Stuffles","['Cherry Stuf', 'Stuffles']",""
"The Almost Chef","['The Almost Chef']",""
"The Americana","['The Americana']",""
"The Athens","['The Athens']",""
"The Bacon Ones","['The Bacon Ones']",""
"The Bahamas","['The Bahamas']",""
"The Birthday Cake","['The Birthday Cake']",""
"The C.B.R","['The C.B.R']",""
"The Cali Ones","['The Cali Ones']",""
"The Caprese","['The Caprese']",""
"The Carrot Crumbles","['The Carrot Crumbles']",""
"The Charlie Brown","['The Charlie Brown']",""
"The Daybreak","['The Daybreak']",""
"The Early Bird","['The Early Bird']",""
"The Elfs Delight","['Elf', ""The Elf'S Delight""]",""
"The Fire Ones","['The Fire Ones']",""
"The Greek Ones","['The Greek Ones']",""
"The Mama Mia","['The Mama Mia']",""
"The Med","['The Med']",""
"The Mother Clucker","['The Mother Clucker']",""
"The Paddy Wack","['The Paddy Wack']",""
"The Papa","['The Papa']",""
"The Pizza Ones","['The Pizza Ones']",""
"The S.E.C.","['The S.E.C.']",""
"The Stravo","['The Stravo']",""
"The Sunset","['The Sunset']",""
"The Sweetheart","['The Sweetheart']",""
"The Wake And Fake","['The Wake And Fake']",""
"Tikky Tokky","['The Tikky Tokky', 'Tikky Tokky']",""
"Triple Berry Bowl","['The Triple Berry Blend Smoothie Bowl', 'Triple Berry Bowl']",""
"Trust Me","['Trust Me', 'Trust Me (Vegan)']",""
"Waffle","['Chicken And Waffles', 'Waffle Soft Serve Sandwich', 'Waffle Sundae']",""
"Waffle Fries","['Add Waffle Fries (Instead Of A Side Salad)', 'Plain Waffle Fries', 'Sub Waffle Fries']",""
"Waffle-Cuterie","['Fruit Mini Waffle-Cuterie', 'Meat Cheese Mini Waffle-Cuterie', 'Mini Waffle-Cuterie Box', 'Waffle-Cuterie Boxes']",""
"catering_takeout","['Catering']","Catering orders"
"to_remove","['Credit Card Fee', ""Feelin' Dippy"", 'Gift Card', 'Glass Cup', 'Private', 'Private Event', 'Private Event Deposit', 'Private Event For 50 People', 'Private Event Shea Homes', 'Snack Free Card', ""The Feelin' Dippy"", ""The Feelin' Dippy W/ Butternut Squash"", 'Travel Fee', 'Wedding Catering Deposit', 'Xmas']","Non-food items (gift cards, fees, deposits, private events) to be removed from analysis"
