canonical_name,variants,reasoning
9 Bucks Tuesday,['9 Bucks Tuesday'],
Bacon Cheeseburger,"['Bacon Cheeseburger', 'Hh Bacon Cheeseburger', 'LilCheeseburger']",
Bbq Wings,['Bbq Wings'],
Beef Burger,['Burge Promo'],
Bella,['Bella'],
Big Mama,['Big Mama'],
Blue Cow,"['Promo $9 Blue Cow', 'Promo 2X1 - Blue Cow', 'The Blue Cow']",
Blue Fries,['Blue Fries'],
Buffalo Wings,['Buffalo Wings'],
Burda,"['Burda', 'Burda Fries', 'Promo $9  Burda', 'Promo 2X1 - Burda', 'Promo Burda / Waoh!']",
Burger,"['Burger Of The Weekend', 'Custom Burger']",
Cheeseburger,"['2X1 Cheeseburger', '2X1 Cheeseburgers', '3 Cheeseburgers', 'Cheeseburger', 'Cheeseburger Promo', 'LilCheeseburger']",
Combo Of The Week,['Combo Of The Week'],
Crispy Chicken,"['Crispy Chicken Blt', 'Crispy Chicken Promo', 'Da´ Chick Blt', 'Lil´ Crispy Chicken', 'Da Chick Blt', 'Lil Crispy Chicken']",
Da Buffalo,['Da´ Buffalo'],
DaBoss,['Da´Boss'],
Doggie,"['Doggie', 'Doggies 2X1 Promo', 'Doggies Combo']",
Double Trouble,"['Double Trouble', 'Double Trouble $9', 'Promo $9 Double Trouble', 'Promo 2X1 - Double Trouble']",
El Papi,['El Papi'],
El Patron,"['El Patron', 'Promo 2X1 - El Patron']",
Fuego Fries,"['Fuego Fries', 'New! - Fuego Fries']",
Garlic Parmesan Wings,['Garlic Parmesan Wings'],
Guay Burger,['New! - Guay Burger'],
Guay Fries,['New! - Guay Fries'],
Hh Wings,['Hh Wings'],
Hot Dog,['Burger Or Hot Dog W/Fries (3 Options)'],
Kalamata Fries,['Kalamata Fries'],
La Frenchie,"['La Fenchie', 'La Frenchie', 'Promo $9 La Frenchie', 'Promo 2X1 - La Frenchie']",
La Polar Stone,['La Polar Stone'],
La Reina,"['La Reina', 'Promo $9  La Reina', 'Promo 2X1 - La Reina']",
La Squisita,['La Squisita'],
Lil Burger,"[""Lil' Burger"", 'Lil´ Burger', 'Lil´Cheeseburger']",
Lil Mama,['Lil´ Mama'],
Loaded Fries,['Loaded Fries'],
Lucky 7,['Lucky 7'],
Lunch Special,['Lunch Special'],
MIA,"['M I A  Promo', 'M I Apromo', 'Mia']",
Mamacita,"['Mamacita!', 'Promo 2X1 - Mamacita']",
Minis,['Minis'],
Promo 25 X 2,['Promo $25 X 2'],
Promo 9.99,"['Promo $19.99', 'Promo $9.99', 'Promo 19.99']",
Raclette Fries,['Raclette Fries'],
Ribs,"['Bbq Ribs 1/2', 'Ridiculous Bbq Ribs']",
Side Fries,['Side Fries'],
Skinny Fries,['Skinny Fries'],
Smoky Fries,['Smoky Fries'],
Stinky Fries,['Stinky Fries'],
TequeOs,['TequeñOs'],
Thursday Promo,['Thursday Promo'],
Truff Me,['Truff Me'],
Ultimate BC Burger,"['The Ultimate Bc Burger', 'The Ultimate Double Bc Burger', 'Ultimate Bc Burger', 'Ultimate Bc Burger Promo']",
V-Urger,"['Promo $9 V-Urger', 'Promo 2X1 - V-Urger', 'V-Urger', 'Vurger']",
Venezuelan Cowboy,"['Promo $9 Venezuelan Cowboy', 'Promo 2X1 - Venezuelan Cowboy', 'Venezuelan Cowboy']",
Volcano Fries,"['Volcano Fries', 'Volcano Fries (E)']",
Wings,['Naked Wings'],
to_remove,"['$1 Upgrade Volcano', 'Catering Setup Fee', 'Custom Amount', 'Custum Amount', 'Delivery Fee', 'Egift Card', 'Gift Card', 'Hh Upgrade Toppings', 'Jueves Unicamente', 'Viernes, Sabado Y Domingo Solamente', 'Coke', 'Fountain Drink', 'M I A Promo', 'Promo Burda Waoh!']","Non-food items (fees, gift cards, upgrades, day restrictions) to be removed from analysis"
Salad,['Salad'],
Side Salad,['Side Salad'],
