"canonical_name","variants","reasoning"
"Acai Bowl","['Acai Bowl']","Individual item (form factor split)"
"April Showers Smoothie Bowl","['April Showers Smoothie Bowl']","Individual item (form factor split)"
"Carrot Cake Smoothie Bowl","['Carrot Cake Smoothie Bowl']","Individual item (form factor split)"
"Dragon Smoothie Bowl","['Dragon Smoothie Bowl']","Individual item (form factor split)"
"Great Pumpkin Bowl","['Great Pumpkin Bowl']","Individual item (form factor split)"
"Green Goddess Smoothie Bowl","['Green Goddess Smoothie Bowl']","Individual item (form factor split)"
"Matcha Love Bowl","['Matcha Love Bowl']","Individual item (form factor split)"
"Pb & J Bowl","['Pb & J Bowl']","Individual item (form factor split)"
"Peppermint Mocha Bowl","['Peppermint Mocha Bowl']","Individual item (form factor split)"
"Specialty Smoothie Bowl","['Specialty Smoothie Bowl']","Individual item (form factor split)"
"Buddha Bowl","['Buddha Bowl', 'Green Goddess Salad Bowl']","Buddha and green goddess bowls"
"Burrito Bowl","['Sw Burrito Bowl', 'Tex Mex Burrito Bowl']","Burrito bowls"
"Butternut Curry","['Butternut Curry']","Individual item (form factor split)"
"Curry","['Curry']","Individual item (form factor split)"
"Punjabi Butternut Chickpea Spinach Curry","['Punjabi Butternut Chickpea Spinach Curry']","Individual item (form factor split)"
"Pineapple Coconut Rice Bowl","['Pineapple Coconut Rice Bowl']","Individual item (form factor split)"
"Spinach Lental Rice Bow","['Spinach Lental Rice Bow']","Individual item (form factor split)"
"Sushi Bowl","['Sushi Bowl']","Individual item (form factor split)"
"Breakfast Bowl","['Breakfast Bowl']","Breakfast bowl"
"Apple Walnut Salad","['Apple Walnut Salad']","Individual item (form factor split)"
"Autumn Salad","['Autumn Salad']","Individual item (form factor split)"
"Bean Corn Salad","['Bean Corn Salad']","Individual item (form factor split)"
"Chicken Salad Over Greens","['Chicken Salad Over Greens']","Individual item (form factor split)"
"Chickpea Salad Over Greens","['Chickpea Salad Over Greens']","Individual item (form factor split)"
"Cranberry Chicken Salad","['Cranberry Chicken Salad']","Individual item (form factor split)"
"Farmer's Market Salad","[""Farmer's Market Salad""]","Individual item (form factor split)"
"Kale! Ceasar Salad","['Kale! Ceasar Salad']","Individual item (form factor split)"
"Mediterranean Falafel Salad","['Mediterranean Falafel Salad']","Individual item (form factor split)"
"Pear Salad Butternut Soup","['Pear Salad Butternut Soup']","Individual item (form factor split)"
"Pomegranate Power Salad","['Pomegranate Power Salad']","Individual item (form factor split)"
"Roasted Beet Sweet Potato Salad","['Roasted Beet Sweet Potato Salad']","Individual item (form factor split)"
"Southwest Salad","['Southwest Salad']","Individual item (form factor split)"
"Spinach Salad","['Spinach Salad']","Individual item (form factor split)"
"The Big Salad","['The Big Salad']","Individual item (form factor split)"
"Winter Protein Salad","['Winter Protein Salad']","Individual item (form factor split)"
"Winter Salad","['Winter Salad']","Individual item (form factor split)"
"Wrap","['Breakfast Wrap', 'Buffalo Tofu Chicken Wrap', 'Chickpea Salad Wrap', 'Cranberry Chicken Wrap', 'Forbidden Wrap', 'Rainbow Wrap', 'Sw Burrito Wrap', 'Vegan Chicken Wrap']","Wrap varieties"
"Burger","['Beet Burger', 'Beyond Burger', 'Black Bean Burger', 'Smash Burger']","Burger varieties"
"Soup","['Black Bean Soup', 'Butternut Squash Soup', 'Curried Cauliflower Soup', 'House Tomato Soup', 'Soup']","Soup varieties"
"Egg Bake","['Egg Bake']","Individual item (form factor split)"
"Matcha Pancakes","['Matcha Pancakes']","Individual item (form factor split)"
"Oatmeal","['Oatmeal']","Individual item (form factor split)"
"Pumpkin Waffles","['Pumpkin Waffles']","Individual item (form factor split)"
"Quiche","['Quiche']","Individual item (form factor split)"
"Chia Pudding","['Chia Pudding', 'Granola']","Chia and granola"
"Toast","['Avocado Toast']","Avocado toast"
"Falafel","['Falafel']","Falafel"
"Quesadilla","['Quesadilla']","Quesadilla"
"Tacos","['Tacos']","Tacos"
"Cauliflower Flatbread Pizza","['Cauliflower Flatbread Pizza']","Individual item (form factor split)"
"Savory Mushroom Flatbread","['Savory Mushroom Flatbread']","Individual item (form factor split)"
"Asian Peanut Noodles","['Asian Peanut Noodles']","Individual item (form factor split)"
"Vegan Mac Cheese","['Vegan Mac Cheese']","Individual item (form factor split)"
"Fries","['Sweet Potato Fries']","Sweet potato fries"
"Chips","['Chips House Pico']","Chips"
"Coleslaw","['Cilantro Lime Coleslaw']","Coleslaw"
"Applesauce","['Applesauce']","Individual item (was in misc group)"
"Microgreens","['Microgreens']","Individual item (was in misc group)"
"Gf Cookie","['Gf Cookie']","Individual item (form factor split)"
"Molasses Cookies","['Molasses Cookies']","Individual item (form factor split)"
"Vegan Cookie Bar","['Vegan Cookie Bar']","Individual item (form factor split)"
"Cookie Bar Sandwich","['Cookie Bar Sandwich']","Individual item (form factor split)"
"Brownie","['Chocolate Chip Brownie', 'Fudgy Brownie', 'Fudgy Espresso Brownie', 'Peppermint Brownie', 'Walnut Brownie']","Brownie varieties"
"Chocolate Chip Cookie Bar","['Chocolate Chip Cookie Bar']","Individual item (form factor split)"
"Energy Bars","['Energy Bars']","Individual item (form factor split)"
"Lemon Bar","['Lemon Bar']","Individual item (form factor split)"
"Peanut Butter Scotchy Bar","['Peanut Butter Scotchy Bar']","Individual item (form factor split)"
"Raspberry Bar","['Raspberry Bar']","Individual item (form factor split)"
"Rice Krispie Bar","['Rice Krispie Bar']","Individual item (form factor split)"
"Vegan Lemon Bar","['Vegan Lemon Bar']","Individual item (form factor split)"
"Almond Pear Cake","['Almond Pear Cake']","Individual item (form factor split)"
"Carrot Cake","['Carrot Cake']","Individual item (form factor split)"
"Chocolate Cake","['Chocolate Cake']","Individual item (form factor split)"
"Pb Chocolate Cake","['Pb Chocolate Cake']","Individual item (form factor split)"
"Spiced Yam Cake- Wedge","['Spiced Yam Cake- Wedge']","Individual item (form factor split)"
"Vegan Gf Cake Slice","['Vegan Gf Cake Slice']","Individual item (form factor split)"
"Cupcake","['Carrot Cake Cupcake', 'Pb Choc Cupcake', 'Vegan Cupcake']","Cupcakes"
"Muffin","['Muffins', 'Pumpkin Muffin', 'V-Protein Packed Banana Muffin', 'Vegan Muffin', 'Zucchini Muffin']","Muffin varieties"
"Cinnamon Roll","['Cinnamon Roll']","Cinnamon roll"
"Cheesecake","['Vegan Cheesecake']","Vegan cheesecake"
"Cake Pops","['Cake Pops']","Individual item (was in misc group)"
"Candy Patty","['Candy Patty']","Individual item (was in misc group)"
"Chocolate Covered Oreos","['Chocolate Covered Oreos']","Individual item (was in misc group)"
"Pb Choc Tart","['Pb Choc Tart']","Individual item (was in misc group)"
"Pretzel Bark","['Pretzel Bark']","Individual item (was in misc group)"
"Vegan Peanut Butter Fudge","['Vegan Peanut Butter Fudge']","Individual item (was in misc group)"
"Enlightened Bean Crisps","['Enlightened Bean Crisps']","Individual item (form factor split)"
"Organic Hickory Smokehouse Mushroom Jerky","['Organic Hickory Smokehouse Mushroom Jerky']","Individual item (form factor split)"
"Taali Water Lily Pops","['Taali Water Lily Pops']","Individual item (form factor split)"
"Honey","['Honey By John']","Local honey"
"Bakery Brand","['Majestic Baking Company']","Majestic baking products"
"Mint To Be","['Mint To Be']","Mint to be item"
"Sandwich","['Banh Mi']","Split from mixed-category Sandwich - neutral items"
"Poultry Sandwich","['Grilled Chicken Sandwich']","Split from mixed-category Sandwich - poultry items"
"Vegan Sandwich","['Reuben-Vegan Or Regular', 'Veggie Grilled Cheese', 'Vegan Breakfast Sandwich']","Split from mixed-category Sandwich - vegan items"
"Chicken Curry Couscous On Greens","['Chicken Curry Couscous On Greens']","Individual item (was in misc group)"
"Lion'S Mane Crab Cakes","[""Lion'S Mane Crab Cakes""]","Individual item (was in misc group)"
"Ratatouille With Chickpea Over Rice Or With Thick Cut Sourdough","['Ratatouille With Chickpea Over Rice Or With Thick Cut Sourdough']","Individual item (was in misc group)"
"Daily Special","['Daily Special']","Individual item (was in misc group)"
"Vegan Shepards Pie","['Vegan Shepards Pie']","Individual item (was in misc group)"
