"item_name","animal_categories","reasoning","vegan","vegetarian","mpbamodifiable"
"Big Bob Bratwurst","['sausage']","Big Bob pork bratwurst - 1/3 lb pork sausage.","False","False","False"
"Bockwurst","['sausage']","Traditional German pork/veal sausage.","False","False","False"
"Weisswurst","['sausage']","Oma's Weisswurst - pork and veal sausage.","False","False","False"
"Dirtyface Beer Wurst","['sausage']","Pork sausage infused with Dirtyface Amber Lager.","False","False","False"
"Currywurst","['sausage']","Currywurst - pork sausage with curry sauce.","False","False","False"
"Chicken","['unfried_chicken']","Plain organic chicken (not sausage form).","False","False","False"
"Chicken Sausage","['sausage']","Chicken in sausage form.","False","False","False"
"Italian Organic Chicken","['unfried_chicken']","Organic chicken - Italian style, not sausage.","False","False","False"
"Organic Chicken","['unfried_chicken']","Plain organic chicken.","False","False","False"
"Helgas Giant Kelbassi","['sausage']","Helga's Giant Kielbasa - smoked pork/beef Polish sausage.","False","False","False"
"Chili","['ground_meat']","Chili - beef chili.","False","False","False"
"Chili Con Carne","['ground_meat']","Chili con Carne - beef chili 8oz.","False","False","False"
"Vegan Chili","['ground_meat']","Vegan chili - plant-based but same dish category as beef chili.","True","True","False"
"Bavarian Cream Of Potato Soup","['ground_meat', 'savory_dairy']","Cream of potato soup - has bacon/meat and dairy.","False","False","False"
"Soup","[]","Generic soup item.","False","False","False"
"Vegan Soup","[]","Vegan soup option.","True","True","False"
"Veggie Soup","[]","Vegetarian soup option.","True","True","False"
"Large Sauerkraut - 8Oz Bowl","[]","Apple cider sauerkraut - vegan.","True","True","False"
"German Potato Salad","['bacon', 'fried_chicken', 'savory_dairy']","German Potato Salad - has bacon, fried chicken, and dairy.","False","False","False"
"Warm Bavarian Pretzel","['savory_dairy']","Warm Bavarian Pretzel - butter and Beechers cheese sauce. Can omit dairy but no vegan sub.","False","True","False"
"Potato Chips","[]","Tim's Cascade chips - some flavors have milk (Sweet Maui).","False","True","False"
"Gingerbread Cookie","['sweet_dairy', 'egg']","Gingerbread cookie - has butter and eggs.","False","True","False"
"Apple Slices","[]","Fresh apple slices - vegan.","True","True","False"
"Add Ons","['savory_dairy']","Add-ons like Beechers cheese, cream cheese.","False","True","False"
"Gluten Free Bun","[]","Gluten free bun.","False","True","False"
"G.P.S.","['savory_dairy']","G.P.S. add-on combination.","False","True","False"
"Big City Beef Frank","['sausage']","Big City Beef Frank - all-beef hot dog.","False","False","False"
"Turkey Dog","['sausage']","Turkey Dog - turkey hot dog.","False","False","False"
"Hans Jalapeno Cheddar","['sausage', 'savory_dairy']","Hans' Jalapeño & Cheddar - smoked pork/beef with cheddar.","False","False","False"
"Beyond Sausage","['sausage']","Beyond Sausage - vegan bratwurst (plant-based but sausage category).","True","True","False"
"Veggie Wurst","['sausage']","Veggie Wurst - Field Roast plant-based, vegan upon request.","False","True","True"
