item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
Aebleskivers,[],No animal products detected in name,True,True,False
Bao,[],No animal products detected in name,True,True,False
Biscuit & Red Eye Gravy,[],No animal products detected in name,True,True,False
Boston Butt Mac & Cheese,['savory_dairy'],Contains dairy or egg; dairy could be omitted (no vegan dairy sub),False,True,False
BYO Pizza,[],No animal products detected in name,True,True,False
Char Siu Bao,[],No animal products detected in name,True,True,False
Chili For Cabbagetown,['ground_meat'],Contains meat,False,False,False
Chips & Salsa,[],No animal products detected in name,True,True,False
Cranberry Toast,[],No animal products detected in name,True,True,False
Crawfish Hand Pies,[],Contains fish/shellfish,False,False,False
Fish & Chips,[],Contains fish/shellfish,False,False,False
Side Fried Rice,[],No animal products detected in name,True,True,False
Gado-Gado,[],No animal products detected in name,True,True,False
Hoisin Duck Taco,['unfried_chicken'],Contains meat; protein likely substitutable,False,False,False
Black Cocoa Miso Ice Cream Sandwich,"['sweet_dairy', 'egg']",Contains dairy or egg (no vegan dairy sub) [FIXED: Baked goods typically have egg/dairy],False,True,False
Jenchan,[],No animal products detected in name,True,True,False
Justaco,[],No animal products detected in name,True,True,False
Mac & Cheese,['savory_dairy'],Contains dairy or egg; dairy could be omitted (no vegan dairy sub),False,True,False
Mongolian Beef Cheesesteak,"['chunked_beef_or_pork', 'savory_dairy']",Contains meat,False,False,True
Poptart,[],No animal products detected in name,True,True,False
Potstickers,[],No animal products detected in name,True,True,False
Pork Roll Egg Cheese,"['egg', 'savory_dairy']",Contains meat,False,False,False
Shrimp Po' Boy,[],Contains fish/shellfish,False,False,False
Smoked Salmon Succotash,[],Contains fish/shellfish,False,False,False
Smorrebrod,[],No animal products detected in name,True,True,False
Super Margherita Pizza,[],No animal products detected in name,True,True,False
Sweet Potato Tostada,[],No animal products detected in name,True,True,False
Tahini Noodles,[],No animal products detected in name,True,True,False
Vietnamese Pork Egg Roll,[],Contains meat; protein likely substitutable,False,False,False
Yurei,[],No animal products detected in name,True,True,False
Side Fries,[],No animal products detected in name,True,True,False
Tostada,[],No animal products detected in name,True,True,False
Dumplings,[],No animal products detected in name,True,True,False
Skate Wing And Bacon Banh Mi,['bacon'],Contains meat,False,False,False
Stir Fry Veggies,[],No animal products detected in name,True,True,False
Brisket Mac And Cheese,"['chunked_beef_or_pork', 'savory_dairy']",Contains meat,False,False,False
Cantonese Mahi Mahi,[],Contains fish/shellfish,False,False,False
Crispy Asian Wings,['fried_chicken'],Contains meat [FIXED: Wings are typically fried],False,False,False
2 Day Grass-Fed Chili (16 Oz),['ground_meat'],Contains meat,False,False,False
