item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
Burger,"['beef_or_pork_burger', 'savory_dairy']",Cheeseburger - Detroit style,False,False,False
Burrito,"['egg', 'savory_dairy']",Breakfast burrito,False,True,False
Cubano,"['chunked_beef_or_pork', 'savory_dairy']",Cuban sandwich with pork/ham,False,False,False
Curly Fries,[],Curly fries,True,True,False
Eggs Federal,"['egg', 'savory_dairy', 'bacon']",Eggs Federal - eggs with bacon option,False,False,False
Four Guys,"['beef_or_pork_burger', 'bacon', 'savory_dairy']",Four guys double patty burger with bacon,False,False,False
Gold Standard,"['egg', 'savory_dairy', 'bacon']",Breakfast sandwich - bacon/kale/impossible option,False,False,False
Grapefruit,[],Grapefruit dish,True,True,False
Patty Melt,['savory_dairy'],Beyond/Impossible patty melt - vegetarian,False,True,False
Rosti,"['egg', 'savory_dairy']",Potato rosti - can have egg (no vegan sub on menu),False,True,False
Scrambled Eggs,"['egg', 'savory_dairy']",Scrambled eggs,False,True,False
Slaw,[],Coleslaw,True,True,False
Soup,[],Soup - varies by day,True,True,False
Trout Plate,[],Trout plate - fish,False,False,False
Waffles,"['sweet_dairy', 'egg']",Waffles,False,True,False
Arugula Salad,[],Arugula salad,True,True,False
Caesar Sf,"['savory_dairy', 'egg']","Caesar salad - parmesan, anchovy dressing",False,True,False
Cobb Salad,"['bacon', 'egg', 'savory_dairy', 'unfried_chicken']",Cobb salad with bacon chicken egg,False,False,False
Nachos,['savory_dairy'],Nachos with cheese,False,True,False
Chips N Guac,[],Chips and guacamole,True,True,False
Chips Salsa,[],Chips and salsa,True,True,False
Bread And Chips,[],Bread and chips,True,True,False
Fries,[],French fries,True,True,False
All Beef Hot Dog,['sausage'],All beef hot dog,False,False,False
Corn Dog,"['sausage', 'sweet_dairy', 'egg']",Corn dog - batter has egg,False,False,False
Butter Tart,"['sweet_dairy', 'egg']",Butter tart,False,True,False
Fried Chicken,['fried_chicken'],Fried chicken,False,False,False
Trout,[],Trout - fish,False,False,False
Caesar,"['savory_dairy', 'egg']",Caesar salad,False,True,False
Eggs,['egg'],Eggs,False,True,False
Steak,['chunked_beef_or_pork'],Steak,False,False,False
Ceviche,[],Ceviche - fish/seafood,False,False,False
Kale,[],Kale side,True,True,False
Squash,[],Squash dish,True,True,False
Donut,"['sweet_dairy', 'egg']",Donut,False,True,False
Ice Cream,"['sweet_dairy', 'egg']",Ice cream [FIXED: Baked goods typically have egg/dairy],False,True,False
Toast,[],Toast,True,True,False
Beemster,['savory_dairy'],Beemster cheese,False,True,False
Corelli Pecorino,['savory_dairy'],Pecorino cheese,False,True,False
Oliv-Almond,[],Olive almond appetizer,True,True,False
Fruit Salad,[],Fruit salad,True,True,False
Green Salad,[],Green salad,True,True,False
Potato Salad,"['egg', 'savory_dairy']",Potato salad - likely has mayo/egg,False,True,False
Wedge,"['savory_dairy', 'bacon']",Wedge salad with blue cheese and bacon,False,False,False
Chilaquiles,"['egg', 'savory_dairy']",Chilaquiles with egg (no vegan sub on menu),False,True,False
Fruit Scone,"['sweet_dairy', 'egg']",Fruit scone,False,True,False
Granola Bowl,['sweet_dairy'],Granola bowl - likely has yogurt (no vegan sub),False,True,False
Almonds,[],Almonds,True,True,False
Brussel Sprouts,[],Brussels sprouts,True,True,False
Burrata,['savory_dairy'],Burrata cheese,False,True,False
Cornichon,[],Cornichons/pickles,True,True,False
Esquites,['savory_dairy'],Mexican street corn - has cheese/mayo (no vegan sub),False,True,False
Greens,[],Greens side,True,True,False
Olives,[],Olives,True,True,False
Chicken,['unfried_chicken'],Chicken dish,False,False,False
Hotdog,['sausage'],Hot dog,False,False,False
Long Dog Inflorescence,['sausage'],Long hot dog,False,False,False
Hot Oysters,[],Hot oysters - shellfish,False,False,False
Mussels,[],Mussels - shellfish,False,False,False
Sandwich,"['savory_dairy', 'bacon', 'egg']",Generic sandwich (has bacon - no vegan sub),False,False,False
Bacon,['bacon'],Bacon side,False,False,False
Ham,['chunked_beef_or_pork'],Ham,False,False,False
Sausage,['sausage'],Sausage,False,False,False
Falafel,[],Falafel - vegan,True,True,False
Okonomiyaki,"['egg', 'savory_dairy']",Japanese pancake - can add egg (no vegan sub),False,True,False
Quesadilla,['savory_dairy'],Quesadilla with cheese,False,True,False
Mac Cheese,['savory_dairy'],Mac and cheese,False,True,False
Fennel Orange,[],Fennel orange salad/dish,True,True,False
Grapefruit Brown Sugar,[],Grapefruit with brown sugar,True,True,False
Strawberry,[],Strawberry dish,True,True,False
Avocado,[],Avocado dish,True,True,False
Custom,[],Custom order,True,True,False
Geez Louise,"['sweet_dairy', 'egg']",Dessert/special item,False,True,False
Janky,[],Janky item,True,True,False
Matron Seasonal,[],Seasonal item,True,True,False
Open,[],Open item,True,True,False
Open Food,[],Open food item,True,True,False
Ptg,[],PTG item,True,True,False
to_remove,[],"Non-food/non-drink items and drinks (coffee, tea, beer, wine, etc.)",False,False,False
