item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
Ajvar Dip,[],Ajvar - roasted red pepper/eggplant dip - vegan,True,True,False
Olive Tapenade Dip,[],Olive tapenade - vegan,True,True,False
Pumpkin Hummus Dip,[],Pumpkin hummus - vegan,True,True,False
Roasted Red Pepper Hummus,[],Red pepper hummus - vegan,True,True,False
Hummus,[],Dill Pickle/Catering hummus - vegan,True,True,False
3 Cheese Caramelized Onion Dip,['savory_dairy'],Three cheese caramelized onion dip,False,True,False
Buffalo Broccoli Dip,['savory_dairy'],Buffalo broccoli dip - likely has cheese/cream,False,True,False
Vegan Spinach Dip,[],Vegan spinach dip - plant-based,True,True,False
Cucumber Salad,[],Cucumber salad - likely vegan,True,True,False
Elote Salad,['savory_dairy'],"Elote salad - Mexican street corn style, has cheese/mayo",False,True,False
Red Cabbage Apple Slaw,[],Red cabbage apple slaw - likely vegan,True,True,False
Tahini Cauliflower Salad,[],Tahini cauliflower - vegan,True,True,False
Carrot Pineapple Sunshine Salad,[],Carrot pineapple salad - vegan,True,True,False
Blackbean Salad,[],Black bean salad - vegan,True,True,False
Caprese Salad,['savory_dairy'],Caprese - tomato mozzarella basil. Vegan cheese option exists.,False,True,True
Coleslaw,['egg'],Coleslaw - likely has mayo (egg-based),False,True,False
Daikon Salad,[],Daikon salad - vegan,True,True,False
German Potato Salad,['bacon'],German potato salad - traditionally has bacon,False,False,False
Kalamata Cucumber Salad,['savory_dairy'],Kalamata cucumber salad - has cheese option,False,True,True
Rainbow Pride Salad,['savory_dairy'],Rainbow Pride salad - has cheese option,False,True,True
Roasted Broccoli Salad,[],Roasted broccoli salad - vegan,True,True,False
Salad Meal,[],Generic salad meal,False,False,False
Sweet Potato And Kale Salad,[],Sweet potato kale salad - vegan,True,True,False
Tuscan White Bean Salad,[],Tuscan white bean salad - vegan,True,True,False
Poultry Salad,['unfried_chicken'],Chicken salad,False,False,False
Roasted Cauliflower,[],Roasted cauliflower poboy/salad - vegan,True,True,False
Cheese Pizza,['savory_dairy'],Cheese pizza - vegan cheese option exists,False,True,True
Pepperoni Pizza,"['sausage', 'savory_dairy']",Pepperoni pizza - vegan pie option,False,False,True
White Pizza,['savory_dairy'],White pizza - cream/cheese based,False,True,False
Red Pie (Vegan) Pizza,[],Red Pie vegan pizza - already vegan,True,True,False
Margarita Pizza,['savory_dairy'],"Margherita pizza - mozzarella, basil",False,True,False
Pie Of The Week Pizza,[],Pie of the week - varies,False,False,False
New Year Pizza (Onsite Order),['chunked_beef_or_pork'],NY pork and sauerkraut pizza - has jackfruit option,False,False,True
New Year Special Good Luck Pork And Sauerkraut,['chunked_beef_or_pork'],Pork and sauerkraut - jackfruit option,False,False,True
Pizza,['savory_dairy'],Pizza slice - pepperoni/cheese/weekly options,False,False,False
Soft Pretzel And Big Hop Beer Mustard,[],Soft pretzel with beer mustard - vegan,True,True,False
Gratitude Pretzel,['savory_dairy'],"Gratitude pretzel - has beer cheese option, hot agave tofu cream cheese option",False,True,True
Pretzels,[],Plain pretzels - vegan,True,True,False
Breadsticks,['savory_dairy'],Breadsticks - plain or cheesy option,False,True,True
Loaf,[],Bread loaf - likely vegan,True,True,False
Burrito,['savory_dairy'],Burrito - vegan option exists,False,True,True
Cheese Quesadilla With Salsa,"['savory_dairy', 'unfried_chicken']",Cheese quesadilla - chicken or black bean veggie option,False,False,True
Cheese Tostada With Salsa,"['savory_dairy', 'unfried_chicken']",Cheese tostada - chicken or black bean veggie,False,False,True
Red Chile Enchiladas,['savory_dairy'],Red chile enchiladas / vegan tamale pie,False,True,True
Totchos,['savory_dairy'],Totchos - loaded tots with cheese/beans,False,True,False
Chicken Sandwich,['fried_chicken'],Fried chicken sandwich/poboy,False,False,False
Pork Sandwich,['pulled_pork'],BBQ pulled pork sandwich,False,False,False
Shellfish Sandwich,[],Shrimp poboy - shellfish,False,False,False
Beef Green Chile,"['beef_or_pork_burger', 'savory_dairy']",Green chile cheeseburger,False,False,False
Pickled Veggies,[],Pickled veggies - vegan,True,True,False
Chips And Salsa (Side),[],Chips and salsa - vegan,True,True,False
Potater Chipz,[],Potato chips - vegan,True,True,False
Chips,[],Chips - vegan,True,True,False
Chips/Snacks,[],Snacks - varies,True,True,False
French Fries,[],French fries - vegan,True,True,False
Cheesey Tots,['savory_dairy'],Cheesy tots - has cheese,False,True,False
Pickled Items,[],Pickles - vegan,True,True,False
Cheese Board,['savory_dairy'],Cheese plate/board - dairy,False,True,False
Posole,['chunked_beef_or_pork'],Posole - Mexican pork stew,False,False,False
Soup Of The Day,[],"Soup of the day - varies, cheese/sour cream options",False,False,False
Beef Chili,['ground_meat'],Beefy chili,False,False,False
Vegan Chili,['ground_meat'],Vegan/veggie chili - plant-based [FIXED: Chili format - ground meat style dish],True,True,False
Pork Chili,['chunked_beef_or_pork'],Pork chili - contains pork,False,False,False
Green Chile,"['egg', 'savory_dairy']",Green chile cheese frittata - has egg and cheese,False,True,False
Pork Green Chile,['chunked_beef_or_pork'],Green chile pork stew,False,False,False
Apple Crumble,['sweet_dairy'],Apple crumble - likely has butter,False,True,False
Brownie,"['egg', 'sweet_dairy']",Brownie - has eggs/butter,False,True,False
Nunkin Spice Bread Pudding,"['egg', 'sweet_dairy']",Pumpkin spice bread pudding - has egg/dairy,False,True,False
Rice Krispy Treat,['sweet_dairy'],Rice Krispy treat - has butter/marshmallow,False,True,False
Coconut Smiles,[],"Coconut smiles - unclear, possibly vegan",False,True,False
Baked Goods,[],Blackstrap cake mix - baked goods,False,True,False
Mac Cheese,['savory_dairy'],Mac and cheese - dairy,False,True,False
Fruit,[],Blueberries - vegan,True,True,False
Condiment/Spread,[],Eliza's lime curd - likely has egg/butter,False,True,False
Breakfast,['egg'],Migas - Mexican scrambled eggs,False,True,False
catering_takeout,[],Catering and takeout items - varies by content,False,False,False
to_remove,[],"Non-food/non-drink items and drinks (coffee, tea, beer, wine, etc.)",False,False,False
