item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
B Sting,"['sweet_dairy', 'egg']",Sweet waffle - bee sting honey,False,True,False
Basic,"['sweet_dairy', 'egg']",Basic waffle,False,True,False
Bluebird,"['sweet_dairy', 'egg']",Blueberry waffle,False,True,False
Campfire,"['sweet_dairy', 'egg']",S'mores waffle - marshmallow chocolate,False,True,False
Chavo,"['sweet_dairy', 'egg']",Chavo waffle,False,True,False
Count,"['sweet_dairy', 'egg']",Count waffle,False,True,False
Dipsticks,"['sweet_dairy', 'egg']",Waffle dipsticks,False,True,False
Favorite,"['sweet_dairy', 'egg']",Favorite waffle,False,True,False
Feelin' Dippy,"['sweet_dairy', 'egg']",Dippy waffle,False,True,False
Freaking Bomb,"['sweet_dairy', 'egg']",Freaking bomb waffle,False,True,False
French Hen,"['sweet_dairy', 'egg']",French hen waffle - butter cream,False,True,False
Getting Figgy,"['sweet_dairy', 'egg']",Fig waffle,False,True,False
Grey Stuf,"['sweet_dairy', 'egg']",Grey stuff waffle,False,True,False
Hash Smash,['egg'],Hash smash - potatoes (has cauliflower GF option),False,True,False
Hashbrowns,[],Plain hashbrowns,True,True,False
Nash,"['fried_chicken', 'savory_dairy', 'egg']",Nashville hot chicken waffle sandwich,False,False,False
Nutty Monkey,"['sweet_dairy', 'egg']",Banana nutella waffle (no menu to verify vegan sub),False,True,False
Olive You,"['savory_dairy', 'egg']",Olive/hummus waffle (no menu to verify vegan sub),False,True,False
Patriot,"['sweet_dairy', 'egg']",Patriot waffle - red white blue,False,True,False
Plain Jane,"['sweet_dairy', 'egg']",Plain waffle,False,True,False
Tikky Tokky,"['sweet_dairy', 'egg']",Tikky tokky waffle,False,True,False
Trust Me,"['sweet_dairy', 'egg']",Trust me waffle,False,True,False
Waffle Fries,[],Waffle-cut french fries - vegan,True,True,False
Waffle-Cuterie,"['savory_dairy', 'sweet_dairy', 'egg']",Waffle charcuterie box,False,True,False
Cherry Chocolate Bowl,[],Cherry chocolate smoothie bowl,True,True,False
Pineapple Banana Bowl,[],Pineapple banana smoothie bowl,True,True,False
Strawberry Mango Bowl,[],Strawberry mango smoothie bowl,True,True,False
Smoothie Bowls,[],Smoothie bowls,True,True,False
Smoothie Bowl,[],Smoothie bowl,True,True,False
The Almost Chef,"['egg', 'savory_dairy']",Almost chef waffle sandwich,False,True,False
The Americana,"['bacon', 'egg', 'savory_dairy']",Americana breakfast sandwich with bacon,False,False,False
The Athens,"['egg', 'savory_dairy']",Athens waffle - Greek style,False,True,False
The Bahamas,"['sweet_dairy', 'egg']",Bahamas waffle,False,True,False
The Caprese,"['savory_dairy', 'egg']",Caprese waffle - mozzarella tomato,False,True,False
The Charlie Brown,"['sweet_dairy', 'egg']",Peanut butter waffle,False,True,False
The C.B.R,"['fried_chicken', 'bacon', 'savory_dairy', 'egg']",Chicken bacon ranch waffle,False,False,False
The Bacon Ones,"['bacon', 'savory_dairy']",Bacon loaded fries with carne asada,False,False,False
The Cali Ones,['savory_dairy'],California loaded fries - cheese sauce avocado,False,True,False
The Carrot Crumbles,"['sweet_dairy', 'egg']",Carrot cake waffle,False,True,False
The Birthday Cake,"['sweet_dairy', 'egg']",Birthday cake waffle,False,True,False
Chicken And Waffles,"['fried_chicken', 'sweet_dairy', 'egg']",Classic chicken and waffles - has fried chicken,False,False,False
Gluten Free Chicken,['fried_chicken'],Gluten free fried chicken,False,False,False
Extra Chicken,['fried_chicken'],Extra chicken add-on,False,False,False
Kicked Up,"['fried_chicken', 'savory_dairy', 'egg']",Kicked up chicken waffle,False,False,False
Ice Cream Nachos,"['sweet_dairy', 'egg']",Ice cream nachos dessert,False,True,False
Soft Serve,['sweet_dairy'],Soft serve ice cream,False,True,False
Gobbler,"['unfried_chicken', 'egg', 'savory_dairy']",Turkey gobbler sandwich,False,False,False
Bagel,[],Plain bagel,True,True,False
Be Mine,"['sweet_dairy', 'egg']",Valentine waffle,False,True,False
Brunch Box,"['bacon', 'egg', 'savory_dairy']",Brunch box with meat,False,False,False
Choose 2 Flavors,"['sweet_dairy', 'egg']",Two flavor waffle,False,True,False
Stuffles,"['bacon', 'savory_dairy', 'sweet_dairy', 'egg']",Stuffed waffles - ham/bacon options (no vegan sub evidence),False,False,False
Cherry Stuf,"['sweet_dairy', 'egg']",Cherry stuffed waffle,False,True,False
The Daybreak,"['bacon', 'egg', 'savory_dairy']",Daybreak breakfast sandwich,False,False,False
The Early Bird,"['bacon', 'egg', 'savory_dairy']",Early bird breakfast,False,False,False
The Elf'S Delight,"['sweet_dairy', 'egg']",Elf's delight holiday waffle,False,True,False
The Feelin' Dippy W Butternut Squash,"['sweet_dairy', 'egg']",Butternut squash dippy waffle,False,True,False
The Mama Mia,"['savory_dairy', 'egg']",Mama mia Italian waffle,False,True,False
The Med,"['bacon', 'savory_dairy', 'egg']",Mediterranean waffle with bacon,False,False,False
The Mother Clucker,"['fried_chicken', 'savory_dairy', 'egg']",Fried chicken sandwich - spicy mayo,False,False,False
The Paddy Wack,"['savory_dairy', 'egg']",Paddy wack waffle,False,True,False
The Papa,"['sausage', 'egg', 'savory_dairy']",Papa breakfast with sausage,False,False,False
The S.E.C.,"['sausage', 'egg', 'savory_dairy']",Sausage egg cheese waffle,False,False,False
The Stravo,"['sweet_dairy', 'egg']",Stravo strawberry waffle (no menu to verify vegan sub),False,True,False
The Sunset,"['sweet_dairy', 'egg']",Sunset waffle,False,True,False
The Sweetheart,"['sweet_dairy', 'egg']",Sweetheart waffle,False,True,False
The Wake And Fake,[],Vegan waffle - vegan egg/bacon,True,True,False
The Chicken Sausage Dipsitcks,"['sausage', 'egg']",Chicken sausage dipsticks,False,False,False
The Fire Ones,['savory_dairy'],Spicy loaded fries,False,True,False
The Greek Ones,['savory_dairy'],Greek loaded fries (no menu to verify vegan feta),False,True,False
The Pizza Ones,['savory_dairy'],Pizza loaded fries,False,True,False
Waffle,"['sweet_dairy', 'egg']",Plain waffle,False,True,False
