item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
#1 Hot Dog Combo,"['sausage', 'savory_dairy']",Hot dog combo with chili cheese option,False,False,False
Hot Dog,['sausage'],Hot dog - various sizes and combos,False,False,False
Sausage Dog,['sausage'],Sausage dog - pork sausage,False,False,False
Sausage Dog Combo,['sausage'],Sausage dog combo,False,False,False
Veggie Dog,[],Veggie dog - plant-based hot dog,True,True,False
Veggie Dog Combo,[],Veggie dog combo - plant-based,True,True,False
Pork Hot Dog,['sausage'],Bulk hot dogs for event,False,False,False
Pork Combo,['sausage'],Hot dog combo,False,False,False
Beyond Burger,['beef_or_pork_burger'],Beyond Burger - plant-based burger patty [FIXED: Burger format - vegan burger patty],True,True,False
Veggie Burger,['beef_or_pork_burger'],Veggie burger - plant-based,True,True,False
Beef Hamburger,"['beef_or_pork_burger', 'savory_dairy']",Beef burger with cheese option,False,False,False
Beef Combo,"['beef_or_pork_burger', 'savory_dairy']",Burger combo with cheese,False,False,False
Pork Hamburger,['beef_or_pork_burger'],Hamburger combo,False,False,False
Pork Burger,"['beef_or_pork_burger', 'savory_dairy']",Hamburger with toppings,False,False,False
Chicken Tenders,['fried_chicken'],Fried chicken tenders,False,False,False
Chicken Tenders Combo,['fried_chicken'],Chicken tenders combo,False,False,False
Tenders,['fried_chicken'],Kids tenders / tenders fries combo,False,False,False
Wings,['fried_chicken'],"Chicken wings - buffalo, jamaican jerk, bbq [FIXED: Wings are typically fried]",False,False,False
Wings Combo,['fried_chicken'],Wings combo [FIXED: Wings are typically fried],False,False,False
Fries,[],Fries - plain or with cheese,True,True,False
Chili Cheese Fries,"['ground_meat', 'savory_dairy']",Fries with chili and cheese,False,False,False
Cheese Sticks,['savory_dairy'],Cheese sticks - dairy,False,True,False
Mozzarella Sticks,['savory_dairy'],Mozzarella sticks with marinara or ranch,False,True,False
Nachos,['savory_dairy'],"Nachos with cheese, chili, jalapenos options",False,True,False
Combo,[],Generic numbered combo - varies,False,False,False
Kids Combo,[],Kids combo meal,False,False,False
catering_takeout,[],Catering and takeout items - varies by content,False,False,False
