item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
Blue Cow,"['beef_or_pork_burger', 'savory_dairy']",Blue cheese beef burger,False,False,False
Burda,"['beef_or_pork_burger', 'savory_dairy']",Beef burger with cheese,False,False,False
Crispy Chicken,"['fried_chicken', 'savory_dairy']",Crispy fried chicken sandwich,False,False,False
Doggie,"['sausage', 'savory_dairy']",Hot dog,False,False,False
Double Trouble,"['beef_or_pork_burger', 'savory_dairy']",Double beef burger,False,False,False
El Patron,"['beef_or_pork_burger', 'savory_dairy']",Beef burger with aioli/jalapeno,False,False,False
La Frenchie,"['beef_or_pork_burger', 'savory_dairy']",French-style beef burger,False,False,False
La Reina,"['beef_or_pork_burger', 'savory_dairy']",Beef burger with provolone,False,False,False
MIA,"['beef_or_pork_burger', 'savory_dairy']",Beef burger,False,False,False
Mamacita,"['beef_or_pork_burger', 'savory_dairy']",Beef burger with queso/avocado,False,False,False
Ribs,['chunked_beef_or_pork'],Pork ribs,False,False,False
Ultimate BC Burger,"['beef_or_pork_burger', 'savory_dairy']",Ultimate blue cheese burger,False,False,False
V-Urger,[],Veggie burger,True,True,False
Venezuelan Cowboy,"['beef_or_pork_burger', 'savory_dairy']",Venezuelan-style beef burger,False,False,False
Volcano Fries,"['savory_dairy', 'bacon']",Loaded fries with cheese and bacon,False,False,False
Lil Burger,"['beef_or_pork_burger', 'savory_dairy']",Small beef burger,False,False,False
Bbq Wings,['fried_chicken'],BBQ chicken wings [FIXED: Wings are typically fried],False,False,False
Buffalo Wings,['fried_chicken'],Buffalo chicken wings [FIXED: Wings are typically fried],False,False,False
Garlic Parmesan Wings,"['savory_dairy', 'fried_chicken']",Garlic parmesan chicken wings [FIXED: Wings are typically fried],False,False,False
Hh Wings,['fried_chicken'],Happy hour wings [FIXED: Wings are typically fried],False,False,False
Blue Fries,['savory_dairy'],Blue cheese fries,False,True,False
Fuego Fries,['savory_dairy'],Spicy cheese fries,False,True,False
Kalamata Fries,[],Kalamata olive fries,True,True,False
Loaded Fries,['savory_dairy'],Loaded cheese fries,False,True,False
Chicken,"['unfried_chicken', 'savory_dairy']",Chicken item,False,False,False
Bella,"['beef_or_pork_burger', 'savory_dairy']",Bella burger,False,False,False
La Polar Stone,['savory_dairy'],Pizza stone with portobello and arugula,False,True,False
La Squisita,"['beef_or_pork_burger', 'savory_dairy']",Squisita burger,False,False,False
9 Bucks Tuesday,"['beef_or_pork_burger', 'savory_dairy']",Tuesday burger special,False,False,False
Combo Of The Week,"['beef_or_pork_burger', 'savory_dairy']",Weekly combo special,False,False,False
Lucky 7,"['beef_or_pork_burger', 'savory_dairy']",Lucky 7 burger deal,False,False,False
Jueves Unicamente,"['beef_or_pork_burger', 'savory_dairy']",Thursday only special,False,False,False
Happy Hour,"['beef_or_pork_burger', 'savory_dairy', 'unfried_chicken']",Happy hour combo,False,False,False
New! - Guay Burger,"['beef_or_pork_burger', 'savory_dairy']",New burger item,False,False,False
New! - Fuego Fries,['savory_dairy'],New spicy fries,False,True,False
New! - Guay Fries,['savory_dairy'],New fries,False,True,False
Raclette Fries,['savory_dairy'],Raclette cheese fries,False,True,False
Side Fries,[],Plain fries,True,True,False
Skinny Fries,[],Skinny fries,True,True,False
Smoky Fries,['savory_dairy'],Smoky cheese fries,False,True,False
Stinky Fries,['savory_dairy'],Stinky cheese fries,False,True,False
Truff Me,['savory_dairy'],Truffle fries with cheese,False,True,False
Promo 9 Blue Cow,"['beef_or_pork_burger', 'savory_dairy']",Blue cow promo,False,False,False
Promo 9 Burda,"['beef_or_pork_burger', 'savory_dairy']",Burda promo,False,False,False
Promo 9 Double Trouble,"['beef_or_pork_burger', 'savory_dairy']",Double trouble promo,False,False,False
Promo 9 La Frenchie,"['beef_or_pork_burger', 'savory_dairy']",La Frenchie promo,False,False,False
Promo 9 La Reina,"['beef_or_pork_burger', 'savory_dairy']",La Reina promo,False,False,False
Promo 9 V-Urger,[],V-Urger promo,True,True,False
Promo 9 Venezuelan Cowboy,"['beef_or_pork_burger', 'savory_dairy']",Venezuelan cowboy promo,False,False,False
Promo 9.99,"['beef_or_pork_burger', 'savory_dairy']",9.99 burger promo,False,False,False
Promo 19.99,"['beef_or_pork_burger', 'savory_dairy']",19.99 combo promo,False,False,False
Promo 25 X 2,"['beef_or_pork_burger', 'savory_dairy']",25 for 2 promo,False,False,False
Promo Burda Waoh!,"['beef_or_pork_burger', 'savory_dairy']",Burda wow promo,False,False,False
Thursday Promo,"['beef_or_pork_burger', 'savory_dairy']",Thursday burger promo,False,False,False
M I A Promo,"['beef_or_pork_burger', 'savory_dairy']",MIA burger promo,False,False,False
TequeOs,['savory_dairy'],Tequenos - cheese filled pastries,False,True,False
Minis,"['beef_or_pork_burger', 'savory_dairy']",Mini burgers/sliders,False,False,False
Lunch Special,"['beef_or_pork_burger', 'savory_dairy']",Lunch special combo,False,False,False
Beef Cheeseburger,"['beef_or_pork_burger', 'savory_dairy']",Classic beef cheeseburger,False,False,False
Burge Promo,"['beef_or_pork_burger', 'savory_dairy']",Burger promo,False,False,False
Da Buffalo,['unfried_chicken'],Buffalo chicken item,False,False,False
DaBoss,"['beef_or_pork_burger', 'savory_dairy']",Boss burger,False,False,False
