item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
16th Seed,['egg'],Breakfast sandwich - likely has egg,False,True,False
Arbutus Avo,['egg'],Avocado breakfast item - likely has egg,False,True,True
Avocado Tomato,[],Avocado tomato - vegetable focused,True,True,False
Bagel,[],Plain bagel,True,True,False
Caprese,['savory_dairy'],"Mozzarella, pesto, tomato sandwich",False,True,False
Cookie,"['egg', 'sweet_dairy']",Cookie - likely contains egg and butter,False,True,False
Croissant,"['sweet_dairy', 'egg']",Butter croissant with egg,False,True,False
Grilled Cheese,['savory_dairy'],Cheese sandwich - has vegan cheese option,False,True,True
Lox Bagel,['savory_dairy'],Salmon lox with cream cheese,False,False,False
Muffin,"['egg', 'sweet_dairy']",Muffin - likely contains egg and dairy,False,True,False
Sausage Breakfast,"['egg', 'sausage']",Sausage egg sandwich - has Beyond option,False,False,True
Scone,"['sweet_dairy', 'egg']",Scone - contains butter and egg,False,True,False
The Deep,['savory_dairy'],Cream cheese and roasted red pepper bagel,False,True,False
Turkey,['unfried_chicken'],Turkey sandwich,False,False,False
Wake N' Bacon,"['bacon', 'egg']",Bacon and egg sandwich - no vegan bacon option,False,False,False
50 Buffalo Wings,['fried_chicken'],Buffalo wings - chicken [FIXED: Wings are typically fried],False,False,False
Wings (V),[],Vegan wings,True,True,False
Bbq Chicken,['unfried_chicken'],BBQ chicken item,False,False,False
Caesar Salad,['savory_dairy'],Caesar with parmesan - no vegan parmesan option,False,True,False
Chips,[],Chips/snack,True,True,False
Danish,"['sweet_dairy', 'egg']",Danish pastry,False,True,False
Doughnut,"['sweet_dairy', 'egg']",Doughnut,False,True,False
Cinnamon Bun,"['sweet_dairy', 'egg']",Cinnamon roll,False,True,False
Early Bird,"['egg', 'sausage']",Early bird combo - breakfast sandwich,False,False,False
Fruit Platter,[],Fruit platter,True,True,False
Hummus,[],Hummus platter,True,True,False
Mediterranean,['savory_dairy'],Mediterranean salad with feta - no vegan feta option,False,True,False
Veggie Platter,[],Vegetable platter,True,True,False
Southwest,"['unfried_chicken', 'bacon', 'savory_dairy']",Chicken bacon sandwich - Southwest Retriever,False,False,False
Spinach Feta Tart,"['savory_dairy', 'egg']",Spinach feta tart,False,True,False
Sec Box,"['unfried_chicken', 'bacon', 'egg', 'savory_dairy']",Sandwich/event catering box,False,False,False
Arbutus Arts Festival Special,"['egg', 'savory_dairy']",Festival special - likely sandwich,False,True,False
Rise And Grind Special,"['egg', 'sausage']",Morning special - breakfast sandwich,False,False,False
Rms Special,"['egg', 'savory_dairy']",Special item,False,True,False
St.Patty Special,"['egg', 'savory_dairy']",St Patricks special,False,True,False
Kids Meal,"['egg', 'savory_dairy']",Kids meal - likely grilled cheese type,False,True,False
Med Salad Single Serve,['savory_dairy'],Mediterranean salad single serve,False,True,False
Salad Bar,['savory_dairy'],Salad bar,False,True,False
East Drive Garden Salad,[],Garden salad - vegetables,True,True,False
Spinach Bacon Salad,['bacon'],Spinach salad with bacon,False,False,False
Wrap Box,"['unfried_chicken', 'savory_dairy']",Wrap catering box,False,False,False
Chicken Apple Arugula Sandwich,"['unfried_chicken', 'savory_dairy']",Chicken sandwich,False,False,False
Tomato Basil Panini,['savory_dairy'],Tomato basil panini - no vegan mozzarella,False,True,False
Chipotle Sausage Egg Cheese (V),[],Vegan chipotle sausage egg cheese,True,True,False
Scrambled Eggs Wheat Toast,['egg'],Scrambled eggs with toast,False,True,False
Burger,"['beef_or_pork_burger', 'savory_dairy']",Burger - has Beyond option,False,False,True
Lemon Bundt Cake,"['sweet_dairy', 'egg']",Lemon bundt cake,False,True,False
Banana Blueberry Breakfast Bread,"['sweet_dairy', 'egg']",Banana bread,False,True,False
Zucchini Bread,"['sweet_dairy', 'egg']",Zucchini bread,False,True,False
Pretzel Bites,['sweet_dairy'],Pretzel bites - butter likely,False,True,False
Chocolate Strawberries,['sweet_dairy'],Chocolate covered strawberries,False,True,False
Blazing Bella,[],Blazing Bella - sandwich/panini based on mods,True,True,False
Pastry Platter,"['sweet_dairy', 'egg']",Pastry platter,False,True,False
Canape Platter,"['savory_dairy', 'egg']",Canape platter - mixed appetizers,False,True,False
Pork Canape Platter,['chunked_beef_or_pork'],Pork canape platter,False,False,False
Fish Canape Platter,[],Fish canape platter,False,False,False
catering_takeout,[],Catering and takeout items - varies by content,False,False,False
to_remove,[],"Non-food/non-drink items and drinks (coffee, tea, beer, wine, etc.)",False,False,False
