item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg
Big Bob Bratwurst,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Warm Bavarian Pretzel,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Hans Jalapeno Cheddar,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Helgas Giant Kelbassi,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Big City Beef Frank,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Organic Chicken,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
German Potato Salad,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
Potato Chips,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Veggie Wurst,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Dirtyface Beer Wurst,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Bavarian Cream Of Potato Soup,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Turkey Dog,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Weisswurst,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Chili Con Carne,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Beyond Sausage,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Currywurst,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Bockwurst,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Vegan Soup,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Veggie Soup,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gingerbread Cookie,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Vegan Chili,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Smoked Chicken Apple,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Chicken Sausage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Spinach Organic Chicken,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Large Sauerkraut - 8Oz Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Italian Organic Chicken,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mediterranean Chicken Sausage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
