item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg
Turkey Bacon Avocado Panini,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
Spicy Chicken Panini,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Turkey Bacon Avocado Wrap,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
Acai Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fresh Beyond Burger,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Caesar Blt Chicken Wrap,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
Beach Salad,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Turkey Pesto Panini,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Mango Mania,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Breakfast Panini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
Veggie Portobello,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Pb Bowl,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Asian Chicken Wrap,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bbq Chicken Panini,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Fiesta Wrap,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
Pitaya Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Meat Salad Bowl ChickenTurkey,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Avocado Toast,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mediterranean Wrap,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Albacore Melt Panini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
