item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg
Gold Standard - Bacon,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
Telway Burger,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Gold Standard - Kale,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Gold Standard - Bacon Kale,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
Gold Standard - Impossible,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
Four Guys Burger,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
The Alternative,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Impossible Patty Melt,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Cole Slaw,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Beyond Burger,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Sabich Salad Sandwich,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bulldog Butty,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
Ice Cream Sandwich,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Moms Jeans Desserts,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Miss Vickie,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Og Favorite Ice Cream Sandwich,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
