item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,shrimp,whole_bird_white_meat
BBQ Chicken Sausage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Baked Goods,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Bento,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Bratwurst,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Breakfast Sausage,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Chicken Pesto Sausage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Fries/Tots,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ginger Miso Sausage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Italian Sausage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Jerky,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pizza,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Polish Kielbasa,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Portuguese Sausage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Sliders,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
Spicy Korean Sausage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Wings,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Bread Loaf,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Char Siu,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chorizo,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Chicken Salad,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Chicken Lettuce Wrap,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Empanada,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
