item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,shrimp,whole_bird_white_meat
Aebleskivers,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bao,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Biscuit & Red Eye Gravy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Boston Butt Mac & Cheese,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
BYO Pizza,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Char Siu Bao,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chili For Cabbagetown,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Chips & Salsa,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cranberry Toast,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Crawfish Hand Pies,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fish & Chips,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Side Fried Rice,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gado-Gado,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hoisin Duck Taco,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Black Cocoa Miso Ice Cream Sandwich,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Jenchan,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Justaco,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mac & Cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mongolian Beef Cheesesteak,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Poptart,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Potstickers,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pork Roll Egg Cheese,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Shrimp Po' Boy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Smoked Salmon Succotash,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
