item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,shrimp,whole_bird_white_meat
3 Little Pigs,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Add Bacon,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Andouille,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Anny Sides,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apple Fritter,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Apple Pie,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Apple Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arugula Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Asian,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Asparagus Pizza,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Asparagus Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Auttuno D'Italia,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Autumnal Grain Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
B-L-T,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
BLT,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Bagel Sando,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Baguette Sandwich,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Banh Mi,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Barleywine Vinegar,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bavarian Pretzel,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bean Dip,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beef And Cheddar,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Beef Asian,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beef Burger,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Beef Jerky,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beef Meat,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beef Sandwich,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Beef Tacos,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Beer Cheese Dip,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Beet Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beignets,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Berry Panzanella Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
