item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,shrimp,whole_bird_white_meat
Ajvar Dip,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Olive Tapenade Dip,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pumpkin Hummus Dip,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Roasted Red Pepper Hummus,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hummus,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3 Cheese Caramelized Onion Dip,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Buffalo Broccoli Dip,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Vegan Spinach Dip,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cucumber Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Elote Salad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Red Cabbage Apple Slaw,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tahini Cauliflower Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Carrot Pineapple Sunshine Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blackbean Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Caprese Salad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Coleslaw,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Daikon Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
German Potato Salad,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Kalamata Cucumber Salad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Rainbow Pride Salad,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Roasted Broccoli Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Salad Meal,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sweet Potato And Kale Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tuscan White Bean Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Poultry Salad,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Roasted Cauliflower,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cheese Pizza,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pepperoni Pizza,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
