item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,shrimp,whole_bird_white_meat
Acai Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blue Spirulina Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matcha Green Tea Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pitaya Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pb2 Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Greek Yogurt Bowl,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Protein Bowl,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Byo ProteinSalad Bowl,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
City Of Cape Protein Bowl,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Harvest Signature Bowl,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Vegan Harvest Signature Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Protein Bowl Box,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Signature Bowls,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Buddha Bowl,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cali Bowl,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Fiesta Bowl,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Mediterranean Bowl,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Moroccan Bowl,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Teriyaki Bowl,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Soba Noodle Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beach Salad,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Asian Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spinach Salad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Quinoa Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
City Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fresh Greens,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chicken Wrap,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Turkey Wrap,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Breakfast Wrap,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
City Wrap,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Chicken Panini,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Turkey Panini,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Breakfast Panini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
Albacore Panini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PJ Panini,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pair A Panini,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Pair A Salad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pair A Wrap,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Big Panini Platter,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Big Wrap Platter,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Fresh Panini Platter,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Kids Grilled Cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Avocado Toast,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hummus Toast,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Portobello Balsamic Toast,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Vegan Portobello,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Veggie Portobello,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
English Muffin,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Steel Cut Oat Meal,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Over Night Oats,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Hard Boiled Egg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Hard Boiled Egg 2 Pc,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Egg Quinoa Chickpeas,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
