item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,shrimp,whole_bird_white_meat
B Sting,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Basic,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Bluebird,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
Campfire,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Chavo,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Count,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Dipsticks,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
Favorite,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Freaking Bomb,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
French Hen,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Getting Figgy,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Grey Stuf,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Hash Smash,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Hashbrowns,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nash,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
Nutty Monkey,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Olive You,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Patriot,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Plain Jane,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Tikky Tokky,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Trust Me,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Waffle Fries,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Waffle-Cuterie,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
Cherry Chocolate Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pineapple Banana Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Strawberry Mango Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Smoothie Bowl,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
