item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,shrimp,whole_bird_white_meat
Chips & Guacamole,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Churros,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Picadillo,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Quesadilla,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wings,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Taco,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Asada,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burrito,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nachos,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2 Special,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Brunch Special,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
Fries,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Extra Topping,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Side Avocado,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Corn,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Roasted Market Veggies,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mushrooms,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Off The Menu Special,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Oktoberfestspecial,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Shrimp Special,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chilaquiles,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Taquitos,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Pozole,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
All American,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
El Reno,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Moroccan Glazed Chicken Breast,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ceviche,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Surimi Salad,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cheese Roll,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Queso,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Sides,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hot Dogs,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Vegan Taco,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Asian Short Ribs,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Avocado,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
B&C Burrito,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bacon Shrimp,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Beans,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Calabacitas Taco,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Center Stage Salad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Chicken,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Chorizo,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Duo,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Guacky Wednesday,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Jackfruit Taco,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Meat Quesadilla,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mesquite Grilled Tri-Tip,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nopal,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paleta,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
