item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg
Avgolemono Soup,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Baklava Crumbles Syrup Frozen Yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Black Sheep Meatballs With Spanakorizo,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Black Sheep Salad,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Black Sheep Sandwich,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Chicken Salad,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Chicken Sandwich,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Cretan Wildflower Honey Frozen Yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Greek Fries,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Greek Olive Oil Flaky Sea Salt Frozen Yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Juicy Potatoes,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Lamb Salad,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Lamb Sandwich,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Melitzanosalata,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pastitsio,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Pita - SideSliced,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Plain Frozen Greek Yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Pork Salad,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Pork Sandwich,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Rainbow Surprise!,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Side Of Meat,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Side Of Meat (3 Oz.),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Side Of Meat (6 Oz.),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sour Cherry Syrup Frozen Yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
VLZX7K2M9QD4T Side Green Salad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Straus Organic Greek Yogurt,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
Stuffed Breakfast Pita,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
Tsoureki Whipped Manouri,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Tzatziki,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Veg Salad,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Veg Sandwich,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
