item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,shrimp,whole_bird_white_meat
Acai Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
April Showers Smoothie Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Carrot Cake Smoothie Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dragon Smoothie Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Great Pumpkin Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Goddess Smoothie Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matcha Love Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pb & J Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Peppermint Mocha Bowl,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Specialty Smoothie Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Buddha Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burrito Bowl,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Butternut Curry,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Curry,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Punjabi Butternut Chickpea Spinach Curry,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pineapple Coconut Rice Bowl,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spinach Lental Rice Bow,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sushi Bowl,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Breakfast Bowl,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
