Week,Big Bob Bratwurst,Warm Bavarian Pretzel,Hans Jalapeno & Cheddar,Helgas Giant Kelbassi,Big City Beef Frank,German Potato Salad,Organic Chicken,Potato Chips,Veggie Wurst,Dirtyface Beer Wurst,Turkey Dog,Weisswurst,Beyond Sausage,Bavarian Cream Of Potato Soup,Chili Con Carne,Soup,Currywurst,Chicken,Bockwurst,Vegan Soup,Add Ons,Veggie Soup,Chili,Vegan Chili,Gingerbread Cookie,Apple Slices,Smoked Chicken & Apple,Chicken Sausage,Spinach Organic Chicken,Large Sauerkraut - 8Oz Bowl,Italian Organic Chicken,Gluten Free Bun,Organic Chicken Sausage,Mediterranean Chicken Sausage,Curt'S Currywurst
2018-11-04 00:00:00-07:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-06 00:00:00-08:00,1092.0,951.0,237.0,221.0,295.0,87.0,68.0,87.0,102.0,52.0,76.0,,,,,162.0,60.0,43.0,52.0,,4.0,64.0,75.0,,,12.0,,,,,,,,,
2019-01-13 00:00:00-08:00,800.0,675.0,182.0,144.0,204.0,52.0,72.0,55.0,88.0,68.0,69.0,,,,,135.0,38.0,45.0,33.0,,14.0,33.0,34.0,,,18.0,,,,,,,,,
2019-01-20 00:00:00-08:00,765.0,575.0,159.0,110.0,169.0,66.0,68.0,66.0,60.0,68.0,67.0,,,,,105.0,78.0,40.0,39.0,,5.0,26.0,44.0,,,13.0,,,,,,,,,
2019-01-27 00:00:00-08:00,708.0,618.0,165.0,126.0,209.0,72.0,63.0,99.0,72.0,72.0,66.0,,,,,131.0,79.0,40.0,72.0,,12.0,41.0,39.0,,,4.0,,,,,,,,,
2019-02-03 00:00:00-08:00,397.0,385.0,91.0,84.0,87.0,45.0,54.0,33.0,44.0,40.0,40.0,,,,,57.0,31.0,22.0,29.0,,4.0,25.0,15.0,,,13.0,,,,,,,,,
2019-02-10 00:00:00-08:00,627.0,345.0,170.0,183.0,92.0,28.0,68.0,40.0,45.0,89.0,28.0,,,,,60.0,72.0,59.0,28.0,,7.0,25.0,27.0,,,9.0,,,,,,,,,
2019-02-17 00:00:00-08:00,750.0,547.0,191.0,145.0,121.0,68.0,80.0,82.0,78.0,74.0,51.0,,,,,87.0,55.0,51.0,49.0,,5.0,32.0,30.0,,,22.0,,,,,,,,,
2019-02-24 00:00:00-08:00,285.0,543.0,93.0,72.0,136.0,63.0,46.0,87.0,66.0,34.0,63.0,,,,,94.0,42.0,29.0,54.0,,10.0,25.0,23.0,,,16.0,,,,,,,,,
2019-03-03 00:00:00-08:00,613.0,467.0,135.0,101.0,121.0,51.0,60.0,53.0,60.0,60.0,34.0,,,,,61.0,37.0,41.0,44.0,,9.0,35.0,22.0,,,9.0,,,,,,,,,
